,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,1,19,29,14,40,24,29,4,47,23,16,2,16,13,47,49,47,13,29
1,1,37,35,1,0,19,47,28,47,13,17,10,17,13,47,4,16,35,30,35
2,2,16,49,47,13,47,4,29,32,16,32,9,11,9,32,29,32,9,36,9
3,3,35,8,35,22,35,3,35,27,35,34,35,43,28,29,32,16,32,9,11
4,4,47,50,47,35,27,6,27,6,5,6,37,1,19,47,49,47,13,43,13
5,5,6,5,6,5,6,5,6,5,6,16,32,29,36,9,12,9,32,9,39
6,6,29,39,47,23,48,23,29,49,16,15,16,50,16,23,48,19,29,35,33
7,7,19,1,28,1,28,16,15,16,32,29,28,13,26,35,3,35,44,28,29
8,8,35,33,35,44,28,30,35,1,28,9,32,35,43,13,44,13,26,35,16
9,9,36,29,11,31,11,9,36,9,36,29,6,16,2,16,6,27,35,32,9
10,10,17,35,43,28,22,28,9,12,9,11,9,39,16,32,16,32,16,32,16
11,11,29,50,47,23,48,24,1,19,7,19,29,39,9,32,9,39,16,23,16
12,12,9,32,9,39,9,14,9,19,9,32,9,32,35,41,35,33,35,31,11
13,13,44,28,22,35,18,35,32,9,28,1,25,1,19,9,11,31,35,17,13
14,14,29,39,26,35,9,12,9,11,31,35,46,24,47,15,47,13,16,35,17
15,15,47,15,47,13,28,13,47,23,16,13,17,10,29,28,30,28,29,28,30
16,16,28,45,28,13,43,35,20,35,30,13,28,1,35,20,35,33,35,1,19
17,17,35,27,6,5,6,27,6,5,6,27,35,33,35,33,35,16,23,16,35
18,18,35,30,13,16,32,16,6,5,6,27,35,1,19,47,24,48,19,38,19
19,19,46,35,26,35,26,6,27,6,16,15,16,49,29,12,29,10,17,13,30
20,20,35,22,28,31,35,33,35,3,35,37,35,47,50,47,28,13,1,28,1
21,21,23,48,19,1,28,30,28,29,23,29,19,38,19,1,28,1,24,48,19
22,22,28,1,19,48,24,29,39,9,39,26,6,5,6,29,35,0,19,48,24
23,23,47,50,16,39,29,23,47,24,29,39,9,36,9,36,9,39,29,14,40
24,24,47,15,47,19,38,19,47,23,47,50,47,28,30,35,29,6,5,6,27
25,25,1,37,6,37,35,17,10,29,11,31,28,1,28,9,32,29,14,40,24
26,26,39,16,23,47,35,29,39,16,35,20,35,37,35,17,35,22,28,30,28
27,27,35,31,28,30,28,1,35,18,35,20,35,26,6,5,6,16,49,29,32
28,28,1,28,9,32,29,39,26,13,28,45,28,29,39,9,35,20,35,45,35
29,29,12,9,32,9,11,31,35,33,35,37,35,21,35,20,35,17,35,20,35
30,30,28,29,6,27,35,26,13,47,15,29,24,46,24,46,19,9,11,9,39
31,31,11,9,39,9,11,9,39,16,6,5,6,16,13,29,39,16,23,16,4
32,32,35,32,9,36,9,39,16,6,5,6,5,6,16,15,16,13,16,32,16
33,33,35,26,35,8,35,1,19,1,24,48,19,46,24,48,19,46,19,29,24
34,34,35,17,13,17,13,28,1,19,38,35,33,35,31,28,1,37,35,45,35
35,35,33,35,26,35,32,35,33,35,26,35,33,35,47,39,29,39,29,32,35
36,36,29,39,16,50,16,32,16,32,9,39,47,49,16,13,17,13,43,13,47
37,37,35,32,9,19,1,0,1,19,1,24,46,24,48,24,29,36,29,28,1
38,38,35,3,35,37,35,46,35,32,35,42,35,0,19,29,23,21,35,30,28
39,39,29,50,47,49,47,35,16,2,16,39,16,23,47,39,16,28,31,28,31
40,40,14,9,39,9,11,29,49,47,4,47,19,48,19,46,24,46,24,48,19
41,41,35,30,13,26,35,27,35,27,6,16,50,16,32,16,39,16,39,16,13
42,42,35,9,32,9,11,29,15,29,36,9,39,9,36,9,12,29,39,29,39
43,43,35,33,35,26,6,27,6,27,6,27,6,5,6,27,6,5,6,27,6
44,44,13,16,23,29,49,47,50,47,4,29,11,31,35,37,35,31,28,30,28
45,45,35,44,13,29,36,9,36,9,36,9,35,21,23,47,50,16,32,16,39
46,46,24,40,14,9,19,48,24,48,24,1,19,46,35,30,35,8,35,26,35
47,47,13,1,0,1,28,30,35,26,35,38,35,33,35,27,35,42,35,44,35
48,48,19,29,35,1,28,29,15,16,23,47,15,16,32,29,13,26,35,34,35
49,49,47,50,47,28,1,24,46,19,1,24,1,35,33,35,34,35,3,35,32
50,50,16,50,29,32,35,22,35,47,28,45,35,29,49,16,39,26,13,47,49
51,0,19,9,12,9,12,29,39,9,39,29,35,37,35,46,19,48,24,48,23
52,1,19,48,23,47,39,9,11,9,14,9,39,16,32,16,39,16,32,16,39
53,2,16,39,9,36,9,32,9,12,9,11,9,14,29,13,16,2,16,32,16
54,3,35,30,28,22,35,3,35,3,35,43,35,33,35,33,35,33,35,20,35
55,4,16,15,29,50,47,39,47,23,21,35,3,35,37,1,28,31,11,9,28
56,5,6,29,35,34,35,33,35,46,24,29,6,16,50,47,50,16,32,16,39
57,6,27,6,27,6,5,6,5,6,27,6,5,6,27,6,29,23,16,32,16
58,7,19,29,35,30,28,43,28,1,13,47,23,16,39,16,39,16,32,16,32
59,8,35,1,28,30,35,21,35,27,6,5,6,37,35,26,6,29,11,9,39
60,9,39,9,39,29,10,29,32,35,22,35,30,28,30,35,26,39,16,32,9
61,10,29,28,43,13,28,47,50,47,49,47,39,9,39,9,36,9,36,9,39
62,11,29,50,47,39,9,32,16,15,29,28,16,23,47,15,47,23,47,13,29
63,12,9,28,1,19,48,24,48,19,29,32,16,39,16,28,30,28,30,35,34
64,13,17,13,16,50,29,36,9,32,16,35,46,35,30,28,29,23,16,39,9
65,14,40,14,9,11,31,28,30,35,27,35,9,12,9,19,38,35,47,23,16
66,15,29,50,47,49,47,13,1,0,1,37,6,37,6,27,35,3,35,38,19
67,16,49,47,49,47,4,47,49,47,50,47,15,16,50,47,4,16,39,29,23
68,17,13,26,6,27,6,5,6,27,6,5,6,37,6,29,32,16,32,35,0
69,18,35,42,35,26,35,34,35,31,35,22,28,30,28,9,12,29,19,38,19
70,19,48,19,1,19,47,4,16,23,16,23,47,19,9,35,38,35,8,35,34
71,20,35,27,35,43,35,45,28,1,0,1,25,1,24,40,14,9,39,26,39
