,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,19,38,35,20,35,29,28,1,13,30,35,26,35,31,11,29,35,18,35
1,1,19,29,39,29,15,29,6,5,6,29,14,29,36,29,23,47,19,1,0
2,2,16,23,29,6,5,6,27,6,27,6,37,35,0,35,34,35,27,6,37
3,3,35,33,35,41,35,27,35,22,35,20,35,26,35,34,35,16,6,27,6
4,4,47,50,47,49,47,24,48,19,38,35,42,35,3,35,31,35,33,35,31
5,5,6,27,35,17,13,29,32,35,31,35,33,35,27,6,16,39,16,23,16
6,6,5,6,27,6,26,35,30,35,1,24,47,49,47,24,40,24,40,24,1
7,7,19,47,50,16,6,27,35,20,35,18,35,32,9,32,16,23,47,15,47
8,8,35,32,35,31,35,0,19,48,24,46,19,46,19,1,19,47,50,16,13
9,9,11,9,11,9,12,9,36,9,12,9,11,29,13,47,49,16,4,16,23
10,10,29,10,29,24,47,4,16,49,47,19,48,19,46,24,29,32,35,26,35
11,11,9,36,9,39,47,24,29,15,16,15,16,28,29,13,28,45,28,47,35
12,12,9,39,26,39,16,23,47,24,29,50,47,19,1,13,47,50,47,23,16
13,13,44,13,26,39,29,28,47,49,47,28,30,28,44,35,37,1,24,1,0
14,14,40,24,29,10,17,35,37,1,37,35,45,28,29,12,29,24,48,23,21
15,15,16,32,16,39,16,23,47,50,47,49,47,50,29,11,9,11,29,32,16
16,16,2,16,39,16,2,16,32,16,50,47,23,47,15,29,36,29,39,26,35
17,17,35,22,35,0,1,24,40,14,29,28,1,25,1,19,9,36,29,13,28
18,18,35,31,11,9,11,9,39,29,39,16,23,47,39,47,23,21,23,47,49
19,19,1,19,7,19,48,19,1,19,0,19,48,19,9,12,29,39,29,19,1
20,20,35,43,13,26,13,43,13,28,45,28,31,35,9,11,29,36,29,12,9
21,21,35,20,35,31,28,1,37,35,32,16,15,47,19,47,15,16,28,1,0
22,22,28,44,13,47,23,16,28,13,44,35,47,49,47,49,47,13,17,10,29
23,23,21,23,16,39,16,6,16,32,29,13,28,43,13,26,35,26,35,32,16
24,24,48,24,46,19,9,39,9,19,48,19,38,19,9,32,16,32,9,32,9
25,25,1,25,1,28,29,23,16,2,16,35,37,35,45,35,44,35,43,28,30
26,26,35,18,35,37,1,37,35,8,35,16,28,43,13,44,13,43,28,44,35
27,27,6,5,6,37,35,34,35,34,35,26,39,16,50,29,19,0,1,28,13
28,28,31,35,16,50,16,32,35,17,35,45,28,31,35,0,35,37,35,41,35
29,29,14,29,32,9,36,29,12,9,11,9,39,29,11,29,28,9,11,9,32
30,30,13,29,6,5,6,29,36,29,28,43,35,30,13,26,13,17,10,29,49
31,31,28,31,35,41,35,38,19,29,11,9,36,9,39,26,13,47,23,21,35
32,32,16,28,44,28,45,35,9,32,35,9,39,29,32,29,32,9,36,9,32
