,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,1,24,1,19,1,28,45,28,47,23,16,39,9,12,9,32,9,36,29
1,1,25,1,24,46,24,1,28,47,50,16,35,31,11,9,39,16,23,21,35
2,2,16,50,16,15,16,32,9,11,31,11,9,32,16,4,47,39,26,39,29
3,3,35,46,24,47,35,26,13,16,39,9,19,38,19,1,24,1,24,47,28
4,4,29,15,29,14,9,39,9,39,9,36,9,36,29,6,5,6,16,39,29
5,5,6,16,39,29,13,30,35,33,35,42,35,8,35,21,23,47,50,16,13
6,6,16,50,47,49,47,50,47,23,47,39,16,32,9,32,29,32,16,28,47
7,7,19,47,19,29,11,9,14,40,14,9,39,47,23,48,23,47,15,47,13
8,8,35,22,35,44,28,30,35,31,35,31,28,22,28,1,28,31,28,1,35
9,9,39,9,32,16,49,16,6,29,4,47,28,44,28,22,28,16,13,26,35
10,10,17,10,17,35,27,6,27,35,43,28,44,13,47,15,29,28,29,6,29
11,11,9,19,46,24,48,24,1,25,1,0,1,28,29,19,0,1,19,1,28
12,12,9,19,29,49,29,4,47,28,30,28,45,35,27,6,5,6,29,11,31
13,13,44,28,1,19,0,19,1,0,19,7,19,9,39,16,32,35,22,35,31
14,14,29,28,22,28,30,28,45,35,17,13,28,30,28,1,19,48,19,47,35
15,15,47,19,1,0,35,44,35,37,1,37,35,32,16,39,16,2,16,39,9
16,16,39,16,28,44,13,43,13,17,10,17,10,29,14,29,19,7,19,29,39
17,17,13,44,13,17,10,29,32,29,13,26,35,21,35,18,35,33,35,37,1
18,18,35,16,39,9,11,9,19,9,11,31,11,29,24,46,35,30,28,13,16
19,19,29,12,9,36,9,35,9,39,16,39,16,32,9,19,7,19,7,19,1
20,20,35,37,35,27,35,33,35,26,35,8,35,22,35,8,35,29,12,29,12
21,21,23,47,39,16,28,1,24,1,24,48,23,16,23,21,23,16,39,29,35
22,22,28,1,37,1,28,44,28,45,28,45,35,30,28,22,35,17,35,21,23
23,23,16,4,47,23,29,19,48,24,47,28,22,35,43,13,26,35,44,28,43
24,24,29,50,47,24,48,19,38,19,48,24,40,24,29,32,9,36,9,39,26
25,25,1,28,30,28,1,19,1,28,30,28,22,28,1,25,1,28,29,36,9
26,26,6,27,35,20,35,3,35,27,35,33,35,31,35,8,35,22,35,32,29
27,27,6,27,35,3,35,33,35,30,28,22,35,8,35,33,35,46,35,43,28
28,28,31,35,16,32,29,10,29,35,34,35,32,35,47,50,29,36,29,6,37
29,29,50,47,50,16,23,16,23,47,23,16,39,16,28,30,35,47,13,1,35
30,30,28,47,23,47,19,48,23,21,35,42,35,42,35,1,28,31,28,1,19
31,31,11,31,28,29,14,29,6,26,35,16,39,16,39,9,35,38,35,26,35
32,32,35,16,23,48,23,47,13,29,12,9,14,40,24,48,23,16,15,29,19
33,33,35,33,35,37,1,19,0,1,13,43,13,28,45,28,30,28,1,0,1
34,34,35,18,35,8,35,26,6,5,6,27,6,27,35,34,35,42,35,31,35
35,35,26,35,38,19,9,35,43,35,43,28,45,35,38,35,27,6,29,15,16
36,36,9,39,9,32,9,11,29,24,46,24,46,19,38,35,3,35,8,35,9
37,37,1,24,47,50,29,13,28,47,39,16,2,16,32,16,4,29,6,27,6
38,38,19,9,14,29,4,47,49,16,39,9,39,9,12,9,39,16,32,16,39
39,39,47,50,16,39,16,50,47,28,43,35,27,6,27,35,37,6,16,35,20
40,40,14,29,49,29,6,27,6,37,35,43,35,18,35,16,39,16,39,16,32
41,41,35,32,35,9,12,9,36,9,14,40,24,46,35,33,35,43,28,30,35
42,42,35,9,36,9,36,29,4,47,23,16,39,9,11,9,36,29,12,9,19
43,43,13,29,6,27,35,31,35,8,35,30,35,44,13,47,49,47,24,1,0
44,44,28,31,11,31,35,29,28,45,35,31,11,9,32,16,4,47,15,29,10
45,45,28,30,28,30,28,44,35,18,35,33,35,29,15,16,15,47,19,29,35
46,46,35,31,11,29,35,20,35,32,9,39,16,32,29,32,16,32,35,46,35
47,47,23,21,35,33,35,26,6,27,6,37,1,0,19,9,32,29,36,9,39
48,48,19,48,19,47,23,21,23,29,36,29,39,16,39,47,19,1,0,35,21
49,49,47,49,47,49,16,49,47,49,47,19,47,19,7,19,0,1,19,47,50
50,50,47,39,9,28,1,24,1,28,47,19,48,19,38,19,1,19,38,19,47
51,0,35,1,28,1,35,41,35,26,39,16,39,9,36,9,36,9,19,1,37
52,1,37,1,19,46,35,16,32,16,32,29,14,9,11,31,11,31,11,29,13
53,2,16,32,29,35,31,35,33,35,0,19,48,24,48,23,16,15,29,36,9
54,3,35,0,1,35,21,35,27,6,5,6,27,35,42,35,3,35,45,28,29
55,4,16,32,16,4,29,23,47,23,21,23,47,19,46,19,1,25,1,0,1
56,5,6,27,6,27,6,37,6,37,6,5,6,27,6,27,35,16,15,29,19
57,6,5,6,37,35,9,35,34,35,18,35,31,11,31,28,30,35,16,23,47
58,7,19,1,25,1,19,7,19,0,19,47,35,31,35,34,35,34,35,26,35
59,8,35,17,10,29,32,29,39,47,50,47,35,30,28,31,28,9,39,9,36
60,9,35,32,35,17,10,17,35,0,19,47,15,16,39,16,39,29,39,47,39
61,10,29,14,40,24,1,25,1,13,16,28,30,35,33,35,9,39,9,32,16
62,11,9,39,47,50,47,19,47,23,47,23,47,35,20,35,26,13,26,35,3
63,12,29,13,16,13,43,35,30,28,43,13,17,10,29,6,27,35,8,35,43
64,13,29,39,9,11,31,35,21,35,26,6,5,6,5,6,27,6,27,6,27
65,14,29,12,9,39,16,32,16,39,16,32,29,13,47,49,47,13,26,6,16
66,15,47,4,16,39,16,6,29,6,5,6,27,6,27,6,27,6,5,6,16
67,16,50,16,4,16,4,29,36,9,11,31,11,31,35,46,19,46,19,46,35
68,17,10,29,32,29,13,28,1,25,1,35,45,35,16,2,16,39,16,23,16
69,18,35,47,39,47,13,16,13,28,1,19,1,24,48,24,48,19,9,39,9
70,19,7,19,7,19,47,24,40,24,48,23,16,39,9,32,9,11,9,36,9
71,20,35,46,35,27,35,33,35,27,35,8,35,0,1,0,1,19,7,19,38
72,21,23,47,39,26,35,43,28,9,35,26,35,29,35,34,35,45,28,30,28
73,22,35,3,35,32,35,16,23,21,23,21,23,48,19,9,14,29,36,9,32
74,23,21,35,42,35,46,24,47,35,42,35,3,35,27,6,37,1,19,46,24
75,24,1,0,1,19,1,28,43,35,16,4,16,4,29,36,9,36,29,39,16
76,25,1,19,9,39,9,35,37,35,31,28,1,19,38,19,7,19,9,11,9
77,26,35,1,37,35,21,35,46,35,32,35,33,35,37,35,34,35,45,35,41
78,27,6,5,6,26,35,18,35,43,35,37,6,37,1,19,9,32,29,39,9
79,28,1,0,19,7,19,1,19,1,35,30,28,29,4,47,4,29,35,9,11
80,29,39,26,35,33,35,0,1,37,1,28,47,13,29,14,40,24,46,35,26
81,30,13,30,28,1,28,30,28,44,35,27,35,46,24,46,19,48,24,40,24
82,31,11,29,32,29,6,5,6,26,35,34,35,3,35,30,35,3,35,3,35
83,32,29,19,48,24,1,24,48,23,16,23,47,24,40,14,29,11,31,35,30
84,33,35,46,24,47,50,47,23,29,6,37,35,29,36,29,4,47,23,29,19
85,34,35,9,35,27,6,37,1,19,29,11,9,39,29,39,29,12,9,11,31
86,35,38,19,1,19,38,19,0,1,25,1,0,35,22,28,31,28,30,13,1
87,36,29,36,9,32,9,39,16,23,21,23,21,35,32,9,19,29,35,44,13
88,37,35,32,9,32,16,35,8,35,1,13,1,25,1,37,1,25,1,0,1
89,38,19,38,19,48,23,48,19,1,0,1,28,30,28,13,16,39,26,39,9
90,39,9,12,9,39,29,28,30,28,1,0,19,47,49,47,24,46,24,1,19
91,40,14,29,4,47,19,48,24,48,19,46,19,0,19,48,19,46,24,1,35
92,41,35,37,35,31,28,16,32,29,28,29,36,29,50,29,23,47,49,47,39
93,42,35,26,13,16,23,47,35,26,35,37,35,8,35,26,39,16,35,33,35
94,43,13,44,28,43,28,1,19,9,19,48,24,48,24,48,24,46,24,48,24
95,44,13,16,6,27,6,26,35,26,35,9,36,9,32,9,39,16,49,47,50
96,45,35,22,35,0,1,25,1,37,35,3,35,27,6,37,35,33,35,45,35
97,46,19,1,35,37,1,24,48,24,48,23,47,49,16,50,29,6,27,6,27
98,47,49,29,28,22,35,45,28,30,13,43,35,9,19,47,23,16,32,16,2
99,48,23,47,19,48,19,0,19,48,19,48,24,48,24,40,24,1,28,16,32
100,49,29,35,21,35,9,11,31,28,29,36,9,39,9,11,9,11,31,28,47
101,50,16,23,21,35,45,28,30,28,31,35,27,35,26,35,30,28,16,39,47
102,0,1,19,0,19,9,11,31,35,26,35,3,35,8,35,34,35,47,15,16
103,1,19,38,35,38,19,29,28,1,19,46,24,48,24,47,50,16,2,16,49
104,2,16,2,16,6,5,6,27,6,5,6,27,6,27,6,27,35,20,35,42
105,3,35,38,19,48,19,29,6,26,6,37,35,0,1,13,30,28,30,28,30
106,4,16,23,21,23,16,39,29,6,27,35,37,1,24,40,24,48,24,48,19
107,5,6,27,35,37,1,28,22,35,0,35,1,28,1,28,30,28,30,28,30
108,6,27,6,16,6,27,6,5,6,16,13,29,4,29,23,16,49,47,39,16
109,7,19,46,24,48,19,0,1,28,1,19,48,24,48,23,16,50,47,50,16
110,8,35,31,35,32,9,32,29,10,17,35,26,35,1,24,29,39,9,12,9
111,9,36,29,36,29,50,47,49,47,35,22,28,16,39,47,24,1,19,1,24
112,10,17,10,29,14,29,50,47,39,29,32,16,32,16,32,29,32,29,32,9
113,11,31,35,31,28,1,37,35,9,12,9,19,48,19,0,1,0,1,0,19
114,12,9,39,9,39,16,39,26,35,32,16,2,16,32,29,32,16,23,16,39
115,13,30,35,22,28,1,28,45,35,32,16,2,16,32,35,41,35,27,6,5
116,14,29,39,9,39,26,35,31,28,31,11,29,35,17,10,29,24,29,39,16
117,15,47,49,29,35,30,28,13,28,1,0,35,33,35,26,6,27,35,33,35
118,16,39,29,36,9,36,29,39,16,6,27,6,37,35,30,13,17,10,17,13
119,17,10,17,13,30,35,26,6,5,6,26,35,30,35,33,35,33,35,9,39
120,18,35,26,39,29,11,31,28,30,13,1,19,1,24,48,24,1,28,43,28
121,19,47,24,48,19,1,0,19,1,25,1,0,19,9,36,9,28,13,29,6
122,20,35,37,35,32,35,29,12,9,39,29,28,44,28,31,28,31,28,29,35
123,21,35,9,32,9,39,16,39,9,11,31,35,33,35,33,35,41,35,17,10
124,22,35,30,28,31,35,33,35,37,6,5,6,29,15,29,32,35,33,35,44
125,23,47,19,29,36,29,10,29,32,16,32,16,23,48,23,16,32,16,23,16
126,24,47,39,16,50,47,4,29,28,30,13,30,28,31,28,29,36,29,13,26
127,25,1,28,30,28,1,37,35,9,19,46,35,26,35,27,6,5,6,5,6
128,26,6,27,35,29,11,29,14,29,19,48,24,29,36,29,11,9,28,1,28
129,27,35,21,35,30,35,26,39,29,14,9,11,31,11,29,14,29,10,29,15
130,28,29,50,47,28,1,37,1,28,1,28,9,11,29,28,30,35,30,35,31
131,29,39,47,24,40,14,29,15,16,32,35,30,28,1,19,38,19,38,19,48
132,30,28,29,11,9,32,9,32,16,23,48,19,29,19,46,35,29,36,9,11
133,31,35,33,35,26,35,41,35,26,35,30,28,13,43,13,17,13,44,35,42
134,32,16,28,29,50,29,11,29,4,29,19,47,49,29,36,9,14,29,4,47
135,33,35,43,35,18,35,32,16,35,16,39,16,39,9,14,29,36,29,32,9
136,34,35,33,35,43,13,29,32,16,15,29,36,9,32,9,39,29,24,1,28
137,35,30,28,43,13,17,10,29,39,29,4,16,23,47,50,47,23,48,23,47
138,36,9,19,7,19,29,50,47,15,29,14,9,14,29,49,29,11,31,35,27
139,37,35,47,23,29,6,16,35,44,28,30,35,42,35,31,11,9,39,47,4
140,38,19,7,19,46,35,30,13,44,13,1,13,26,35,27,6,27,35,44,35
141,39,26,6,5,6,27,35,43,13,43,13,29,49,47,39,47,35,26,35,22
142,40,24,1,28,1,25,1,19,48,24,40,14,29,23,47,19,48,19,46,19
143,41,35,18,35,20,35,31,28,16,39,16,2,16,32,29,13,43,13,30,13
144,42,35,1,24,46,19,48,19,46,19,9,36,9,32,16,13,1,35,26,13
145,43,35,21,35,21,35,30,35,44,28,16,15,16,39,29,14,9,39,9,28
146,44,13,1,25,1,0,35,33,35,29,50,29,24,29,39,16,4,29,15,16
147,45,35,1,28,47,49,29,50,47,50,16,4,16,23,48,24,29,15,29,4
148,46,35,37,35,20,35,29,12,29,10,17,10,29,36,9,36,29,24,40,24
149,47,50,47,28,43,35,34,35,18,35,33,35,33,35,34,35,37,1,19,29
150,48,19,1,19,1,35,33,35,18,35,32,16,15,29,28,30,13,17,13,47
151,49,29,24,47,39,9,28,30,28,16,32,29,19,9,36,9,39,29,39,16
152,50,47,39,9,12,9,14,40,24,46,24,48,24,48,23,16,39,29,28,16
153,0,35,46,24,46,24,48,19,47,50,29,50,47,49,47,49,47,24,1,19
154,1,13,26,6,16,6,27,6,27,6,27,6,27,6,27,6,27,6,26,35
155,2,16,28,31,35,37,1,0,1,28,30,28,1,28,31,28,29,50,29,36
156,3,35,17,35,33,35,26,35,32,16,32,35,32,16,23,16,39,9,32,9
