,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,1,24,48,23,16,32,29,39,16,32,35,33,35,27,35,47,50,47,35
1,1,37,35,37,35,41,35,9,32,29,12,29,4,16,35,31,28,45,35,33
2,2,16,32,9,39,16,39,16,32,29,11,9,12,9,32,9,36,29,24,48
3,3,35,3,35,31,28,47,15,16,32,29,24,1,25,1,37,6,29,36,9
4,4,47,19,1,0,35,20,35,8,35,43,28,43,13,47,39,16,4,16,6
5,5,6,26,35,21,35,27,6,27,6,29,13,17,10,17,13,17,35,46,19
6,6,27,6,26,35,0,19,46,19,48,23,47,28,30,28,1,28,1,0,1
7,7,19,38,19,46,35,18,35,3,35,32,35,8,35,8,35,46,24,48,24
8,8,35,34,35,30,28,31,28,9,39,16,39,9,32,16,39,47,49,47,49
9,9,36,9,32,16,28,1,19,47,15,16,39,16,39,29,39,9,39,16,39
10,10,17,13,17,10,17,35,3,35,22,28,1,28,9,39,9,32,9,32,9
11,11,9,19,48,19,48,23,29,35,26,6,26,13,47,23,47,23,16,35,18
12,12,9,39,16,39,16,23,48,19,38,19,7,19,38,35,18,35,27,6,37
13,13,17,35,26,13,28,29,35,33,35,21,23,47,23,21,23,47,19,46,24
14,14,9,36,9,11,9,39,47,24,29,36,29,23,16,39,9,32,16,39,9
15,15,29,50,29,36,29,36,29,4,16,32,9,35,26,35,43,35,33,35,32
16,16,39,29,49,47,49,47,13,28,43,13,28,9,39,9,36,29,39,9,28
17,17,35,0,19,48,19,46,35,20,35,45,35,33,35,26,6,27,35,30,28
18,18,35,38,19,0,1,19,38,19,7,19,1,13,1,24,48,19,7,19,38
19,19,38,35,30,35,46,19,29,28,30,35,21,23,16,35,42,35,29,36,9
20,20,35,34,35,3,35,1,24,1,28,1,0,1,0,35,46,24,1,0,19
21,21,35,32,29,28,30,28,1,0,1,37,35,33,35,29,23,47,23,16,28
22,22,28,22,28,29,24,1,28,22,35,31,11,29,12,9,12,9,19,1,0
23,23,16,4,47,50,29,11,9,39,16,13,1,0,19,1,35,9,32,16,13
24,24,40,24,48,19,38,35,45,28,13,29,10,29,13,43,13,1,13,1,19
25,25,1,19,46,35,37,35,3,35,27,35,38,19,1,28,30,28,1,28,30
26,26,35,27,6,5,6,27,35,26,35,32,16,39,9,14,29,35,3,35,45
27,27,35,27,6,27,35,41,35,1,19,1,0,1,28,30,28,13,44,28,16
28,28,30,28,30,28,22,28,9,39,9,11,31,11,31,28,44,35,22,35,43
29,29,28,45,28,30,28,16,15,16,50,47,49,29,35,43,35,26,35,34,35
30,30,35,31,28,1,35,45,35,37,35,26,13,30,28,16,23,21,35,37,6
31,31,28,30,35,26,6,5,6,26,35,32,16,4,29,39,16,23,47,39,9
32,32,29,49,47,15,29,4,29,11,9,32,16,32,9,12,9,19,29,4,16
33,33,35,37,35,47,49,29,12,9,39,16,32,9,35,42,35,1,35,17,10
34,34,35,22,35,26,35,26,39,9,35,26,13,17,35,21,35,43,28,29,13
35,35,33,35,26,6,27,35,30,35,38,19,48,24,46,19,1,13,1,19,38
36,36,9,39,16,15,47,24,1,24,47,50,47,50,16,50,29,11,9,39,9
37,37,1,28,29,36,9,39,16,6,16,15,47,35,27,35,31,35,42,35,37
38,38,35,38,19,0,1,35,38,35,17,10,29,28,45,35,18,35,47,39,9
39,39,9,39,16,32,9,12,9,32,16,39,16,23,16,39,26,35,26,35,18
40,40,24,1,37,35,47,39,26,39,9,14,29,32,29,12,29,39,9,32,35
41,41,35,41,35,46,24,47,49,47,24,29,19,48,19,7,19,7,19,38,19
42,42,35,8,35,17,35,26,6,37,1,24,1,28,31,28,31,28,29,39,47
43,43,35,37,35,47,28,47,19,48,24,48,24,48,24,40,14,29,32,35,26
44,44,28,44,13,16,39,47,28,31,11,9,32,35,43,35,31,35,47,35,31
45,45,28,30,35,22,35,16,32,29,35,22,28,29,50,47,50,47,24,47,24
46,46,35,27,6,16,15,29,50,29,15,47,39,16,39,26,6,5,6,5,6
47,47,19,1,0,19,29,19,7,19,1,25,1,25,1,13,26,39,29,6,26
48,48,24,40,24,48,23,47,50,47,49,29,14,40,24,48,24,29,19,48,19
49,49,47,23,47,49,29,50,47,28,30,28,30,35,0,1,28,30,28,30,35
50,50,16,39,29,11,29,32,9,11,9,32,9,32,29,32,9,36,9,35,38
51,0,19,47,23,48,23,29,36,29,39,9,36,29,36,29,10,17,13,43,13
52,1,13,47,13,1,13,28,30,13,44,28,22,35,32,16,4,16,39,9,12
53,2,16,32,9,11,9,39,16,4,47,23,16,32,16,23,21,35,45,35,18
