,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,35,30,35,33,35,31,35,30,13,30,28,1,28,43,28,1,35,47,50
1,1,28,13,29,39,26,6,16,39,9,39,29,11,29,19,38,35,9,32,9
2,2,16,32,16,4,16,15,16,49,16,32,9,28,16,32,16,23,47,49,47
3,3,35,16,13,26,35,32,9,12,9,12,9,36,9,11,29,50,47,35,32
4,4,47,49,16,4,47,23,21,23,47,35,34,35,30,28,30,28,31,35,31
5,5,6,5,6,37,35,8,35,32,16,2,16,32,16,2,16,2,16,6,27
6,6,37,35,46,35,43,13,29,39,26,35,27,6,29,50,29,49,29,6,37
7,7,19,48,23,47,28,1,28,1,35,0,1,37,1,28,44,35,27,6,16
8,8,35,26,39,16,39,26,35,32,35,30,28,31,35,1,0,1,35,31,11
9,9,36,9,12,29,39,9,28,9,11,9,35,33,35,31,28,43,35,9,39
10,10,17,13,30,13,47,39,29,14,29,49,16,32,16,50,16,35,20,35,16
11,11,9,11,31,11,9,35,27,6,5,6,27,35,45,28,9,35,21,23,21
12,12,29,12,9,39,9,36,9,32,9,28,29,23,21,23,16,32,9,12,29
13,13,17,10,29,19,9,12,29,35,46,35,43,28,16,35,34,35,32,16,32
14,14,29,50,47,23,16,6,5,6,5,6,27,6,27,35,32,29,4,47,23
15,15,29,15,16,6,29,39,16,2,16,39,16,39,16,23,47,50,47,4,16
16,16,39,16,32,9,36,29,50,29,6,5,6,26,39,16,2,16,35,47,23
17,17,35,17,13,17,10,17,35,45,35,32,9,11,9,12,29,32,35,27,6
18,18,35,21,23,21,35,26,6,27,6,37,1,19,1,19,1,28,30,28,22
19,19,7,19,1,24,47,28,22,28,30,28,30,28,9,36,9,39,29,12,9
20,20,35,38,19,1,24,48,19,1,13,1,28,30,35,33,35,41,35,30,35
21,21,35,47,19,38,35,30,28,1,35,33,35,46,35,9,32,16,28,22,35
22,22,35,37,35,47,50,29,49,29,28,29,32,16,23,16,15,16,49,47,4
