,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,1,28,29,39,29,10,29,15,16,2,16,49,16,39,47,23,48,23,48
1,1,24,48,23,16,6,27,35,18,35,0,1,13,29,36,9,12,29,35,33
2,2,16,28,30,28,30,28,30,28,29,35,18,35,41,35,17,13,16,35,34
3,3,35,0,35,32,9,19,1,37,35,44,13,43,28,30,35,47,15,16,2
4,4,16,35,37,1,28,30,28,30,28,29,11,31,28,30,35,31,28,30,35
5,5,6,5,6,37,35,26,35,37,35,26,35,42,35,41,35,27,35,31,28
6,6,5,6,5,6,27,6,29,28,45,28,1,0,1,37,1,13,26,39,26
7,7,19,46,19,29,36,9,39,9,39,29,50,47,23,21,35,27,35,33,35
8,8,35,21,23,48,24,46,35,41,35,37,35,44,35,32,16,32,16,2,16
9,9,39,9,39,16,39,9,39,29,28,22,28,31,28,31,35,30,28,30,35
10,10,17,13,44,35,18,35,33,35,9,19,38,19,0,35,9,32,29,28,1
11,11,9,36,29,11,9,35,32,9,14,40,14,29,10,29,35,27,6,27,6
12,12,9,39,16,23,29,13,30,35,8,35,45,35,31,28,29,36,29,15,16
13,13,28,30,35,31,35,27,6,26,35,29,50,29,32,29,12,9,32,16,35
14,14,9,14,40,14,9,39,9,36,9,32,9,36,9,39,16,28,9,12,9
15,15,47,23,47,49,47,13,28,1,0,1,35,41,35,41,35,27,6,27,6
16,16,28,1,37,1,28,31,28,47,49,47,24,48,24,48,24,46,35,32,16
17,17,13,17,10,17,10,29,4,16,4,47,50,29,4,16,32,9,14,9,35
18,18,35,26,35,41,35,44,35,30,28,31,11,31,35,37,35,31,28,47,24
19,19,48,23,29,32,16,39,29,14,9,28,29,32,35,8,35,42,35,38,35
20,20,35,41,35,37,35,27,35,21,23,48,24,29,24,48,19,46,24,40,14
21,21,35,44,35,44,13,47,23,16,13,43,28,16,6,27,35,22,28,47,4
22,22,28,1,13,30,28,29,11,29,28,22,35,34,35,33,35,8,35,30,28
23,23,21,35,47,50,16,32,35,37,35,47,4,29,32,9,11,9,39,9,28
24,24,48,24,1,19,1,37,35,1,13,47,23,16,50,16,6,5,6,27,35
25,25,1,0,19,48,19,7,19,48,23,16,49,29,23,16,23,47,19,0,19
26,26,39,16,49,29,10,17,13,16,50,47,35,37,35,17,10,17,13,17,10
27,27,6,5,6,37,1,28,31,28,45,28,1,19,48,24,1,28,43,13,16
28,28,30,28,31,11,9,19,0,35,9,39,9,39,9,39,9,12,9,11,9
29,29,28,1,25,1,28,45,28,30,28,47,4,29,23,16,32,29,39,9,36
30,30,35,41,35,1,0,1,24,48,24,29,28,30,35,44,28,47,28,1,35
31,31,28,31,35,33,35,31,28,31,35,45,28,1,28,13,1,25,1,37,35
32,32,16,2,16,6,27,6,37,35,38,19,9,12,9,36,9,36,29,50,47
33,33,35,18,35,46,19,47,50,29,32,16,35,18,35,46,19,47,39,9,39
34,34,35,47,13,17,35,38,35,31,35,33,35,27,35,29,15,47,35,38,35
35,35,27,6,27,6,5,6,27,35,29,39,9,39,9,39,16,23,29,50,47
36,36,9,12,9,14,29,28,29,28,30,28,47,19,0,35,20,35,21,35,33
37,37,6,29,6,27,35,33,35,22,28,22,35,9,12,9,36,9,28,1,19
38,38,35,18,35,30,28,47,39,16,32,9,39,29,4,29,23,21,35,33,35
39,39,9,12,9,32,35,42,35,33,35,26,6,37,1,25,1,37,35,42,35
40,40,14,9,11,9,19,29,11,31,35,31,28,31,28,31,28,13,26,39,16
41,41,35,43,13,16,35,33,35,30,28,29,39,9,39,9,19,47,13,1,28
