,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,35,47,50,16,23,47,28,43,35,26,35,45,35,8,35,21,23,47,49
1,1,25,1,28,22,28,1,28,30,28,44,35,43,13,16,6,5,6,16,32
2,2,16,50,29,36,9,35,37,35,8,35,30,35,3,35,46,24,48,24,1
3,3,35,29,23,21,23,29,23,16,32,9,12,9,39,16,23,29,12,29,32
4,4,16,4,16,23,47,23,47,49,29,35,32,35,16,32,35,33,35,27,6
5,5,6,29,39,16,32,16,39,16,32,16,28,1,0,19,1,28,30,28,13
6,6,5,6,37,6,27,6,37,1,19,47,23,47,28,16,28,31,11,31,35
7,7,19,48,23,29,28,1,28,1,28,1,28,9,32,29,49,16,15,29,39
8,8,35,0,35,42,35,22,28,29,32,9,32,35,43,35,46,19,47,35,22
9,9,39,16,13,16,32,9,12,9,36,29,19,38,35,18,35,27,35,47,15
10,10,17,35,31,11,9,11,29,49,16,35,44,28,30,28,45,28,1,35,44
11,11,9,11,31,28,1,0,1,19,9,39,9,32,9,14,9,12,9,39,47
12,12,9,32,35,1,25,1,37,1,0,19,38,35,20,35,1,28,30,35,1
13,13,17,13,28,45,28,13,17,35,9,14,40,24,40,24,40,14,40,24,29
14,14,29,28,16,39,16,32,9,39,47,19,47,23,16,32,16,39,9,39,9
15,15,47,13,16,39,16,39,47,24,48,24,46,24,29,28,1,0,19,7,19
16,16,6,16,32,9,32,29,39,16,50,29,36,9,39,16,23,29,19,47,13
17,17,13,47,28,43,35,18,35,47,15,16,39,9,39,29,14,9,14,29,13
18,18,35,16,13,43,13,26,39,9,11,9,14,29,10,29,36,9,14,9,39
19,19,1,24,48,24,29,12,9,36,9,35,3,35,30,28,30,28,47,4,47
20,20,35,32,16,32,9,14,40,24,47,35,33,35,20,35,29,28,1,24,48
21,21,23,16,50,16,28,31,28,30,28,13,16,35,38,19,7,19,38,35,44
22,22,35,32,35,34,35,26,6,5,6,16,23,29,36,9,39,16,2,16,23
23,23,47,19,1,25,1,35,47,15,29,12,9,14,40,24,48,19,29,11,9
24,24,47,24,48,19,29,39,29,13,17,13,26,13,26,13,17,35,1,0,35
25,25,1,28,30,28,31,28,30,35,3,35,33,35,33,35,20,35,30,28,13
