,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,1,25,1,13,44,35,38,19,48,24,46,24,48,19,1,0,1,28,44
1,1,24,47,23,21,35,33,35,38,35,41,35,33,35,26,6,27,35,33,35
2,2,16,2,16,39,16,39,16,15,29,24,47,28,1,19,1,0,1,35,3
3,3,35,41,35,18,35,18,35,33,35,31,11,31,11,9,28,1,0,35,26
4,4,29,6,26,13,29,11,9,39,29,36,9,28,1,0,35,43,13,29,32
5,5,6,27,35,3,35,31,28,30,13,29,23,48,19,46,35,42,35,3,35
6,6,16,2,16,39,16,2,16,35,18,35,45,35,31,28,1,19,46,19,1
7,7,19,9,36,9,32,35,26,35,17,35,26,6,27,6,27,6,16,23,48
8,8,35,22,35,20,35,32,9,12,9,36,29,6,27,35,0,35,41,35,26
9,9,19,38,19,9,36,9,36,9,39,26,6,29,32,16,28,45,28,29,11
10,10,17,10,29,49,16,23,16,28,30,13,16,50,47,49,29,6,26,13,17
11,11,29,11,29,13,17,35,1,0,1,19,48,23,29,24,46,19,1,28,30
12,12,9,36,9,32,35,44,13,29,23,16,50,47,13,28,31,28,1,0,19
13,13,43,13,1,0,35,41,35,29,10,17,13,26,35,1,28,45,35,26,35
14,14,29,36,29,39,9,12,29,10,17,10,17,13,26,6,27,6,5,6,27
15,15,47,28,44,13,26,35,33,35,26,39,9,32,16,49,29,32,9,11,9
16,16,39,16,39,26,35,38,35,26,39,26,6,27,6,26,13,30,13,47,35
17,17,10,17,10,29,49,16,15,29,23,16,32,16,13,28,30,35,0,1,13
18,18,35,34,35,44,35,16,6,5,6,29,50,16,6,16,49,29,6,27,6
19,19,7,19,7,19,38,19,1,0,1,0,19,46,19,29,50,16,28,13,17
20,20,35,3,35,26,13,28,30,28,30,28,29,39,47,24,47,50,16,39,26
21,21,23,47,39,9,14,40,14,29,36,29,35,30,13,17,35,3,35,0,19
22,22,35,16,23,21,23,16,39,16,23,47,50,47,49,16,4,47,24,48,19
23,23,47,50,47,49,29,39,9,35,26,39,9,39,9,11,9,35,18,35,21
24,24,40,14,29,13,1,28,30,28,22,35,9,11,9,28,31,35,33,35,26
25,25,1,24,29,50,29,15,47,50,16,4,16,32,35,32,16,35,38,19,46
26,26,35,30,28,9,36,9,39,16,23,48,24,1,24,48,19,38,35,26,35
27,27,6,5,6,37,35,27,6,27,6,29,12,29,32,35,46,24,48,24,48
28,28,1,28,31,35,46,35,43,35,37,35,18,35,18,35,29,6,5,6,29
29,29,19,48,24,46,35,44,28,29,32,35,26,35,21,35,31,28,31,11,9
30,30,35,20,35,26,35,34,35,34,35,29,14,40,24,1,13,44,28,30,28
31,31,35,33,35,20,35,26,6,26,13,17,35,31,11,9,11,9,12,9,39
32,32,29,24,46,19,0,1,0,1,0,35,44,28,31,28,30,28,22,35,21
33,33,35,18,35,42,35,44,35,8,35,3,35,43,13,29,4,47,23,16,23
34,34,35,3,35,21,23,48,24,48,19,1,19,0,35,33,35,34,35,42,35
35,35,33,35,41,35,9,35,3,35,43,13,47,4,29,13,16,35,27,35,32
36,36,9,39,29,13,26,35,26,39,9,39,16,39,16,23,16,50,29,13,44
37,37,35,20,35,20,35,30,28,29,19,7,19,7,19,0,1,0,1,28,1
38,38,35,18,35,44,28,31,11,9,28,30,28,29,4,29,28,16,13,30,28
39,39,16,39,9,39,9,28,1,19,48,24,40,24,46,35,3,35,44,35,32
40,40,24,47,23,47,49,16,32,35,8,35,18,35,32,9,12,29,49,47,23
41,41,35,30,13,44,35,0,19,29,39,9,35,32,35,33,35,43,28,30,28
42,42,35,41,35,37,6,5,6,5,6,5,6,27,6,5,6,27,6,5,6
43,43,13,1,35,46,35,47,4,29,10,29,32,9,14,9,14,9,12,29,23
44,44,13,1,0,1,24,48,19,48,24,1,37,35,3,35,20,35,3,35,43
45,45,28,45,35,18,35,30,28,29,28,13,28,9,39,16,6,27,6,27,6
46,46,35,26,35,0,19,48,23,47,23,47,15,16,2,16,2,16,23,48,24
47,47,35,3,35,44,35,37,1,28,45,35,26,6,27,6,27,6,5,6,26
48,48,19,46,24,29,11,9,32,16,4,47,4,47,39,16,32,9,39,47,4
49,49,47,24,1,24,46,24,48,23,21,23,16,39,9,36,9,36,9,39,9
50,50,47,4,29,14,40,24,40,24,40,24,1,28,30,28,31,35,1,37,6
51,0,1,0,19,47,39,16,49,47,24,48,24,48,24,1,24,29,10,29,39
52,1,35,3,35,44,13,1,0,1,0,1,0,19,46,19,47,15,29,4,16
53,2,16,4,47,19,38,19,9,11,29,49,16,4,29,49,47,49,47,28,16
54,3,35,32,16,32,9,11,31,28,1,0,1,37,35,20,35,45,28,30,13
55,4,29,50,47,19,38,19,47,39,29,36,9,36,29,28,44,13,29,4,29
56,5,6,16,6,16,32,9,32,16,32,9,12,9,39,16,15,16,32,35,21
57,6,37,6,27,6,5,6,27,6,29,39,16,6,5,6,26,35,1,19,38
58,7,19,1,37,1,37,35,3,35,16,28,1,28,47,49,47,15,16,50,47
59,8,35,29,15,16,50,47,13,44,28,44,13,44,13,30,28,29,36,29,14
60,9,14,9,36,29,49,29,12,9,12,29,36,9,11,9,12,29,32,9,19
61,10,29,39,29,28,1,28,1,19,47,28,30,13,47,24,29,4,16,13,29
62,11,9,39,9,36,29,19,48,19,9,36,29,32,29,39,9,39,29,10,29
63,12,29,50,47,39,9,32,9,28,45,35,42,35,32,35,31,11,9,36,9
64,13,26,39,29,10,29,13,44,35,32,9,11,29,6,27,6,37,6,37,35
65,14,29,13,44,13,17,35,37,35,3,35,22,35,33,35,29,19,38,35,30
66,15,47,28,45,35,30,28,45,28,13,28,44,35,34,35,22,28,30,13,47
67,16,28,43,35,31,35,0,1,28,43,28,44,28,1,28,43,35,43,13,29
68,17,13,47,35,42,35,43,28,30,28,45,35,42,35,18,35,33,35,26,35
69,18,35,42,35,26,35,1,35,8,35,16,49,16,2,16,23,48,23,47,23
70,19,48,19,0,35,31,28,44,13,26,6,27,6,5,6,26,35,29,23,48
71,20,35,18,35,1,0,35,45,35,30,35,8,35,46,19,48,19,48,23,29
72,21,35,8,35,37,35,37,6,27,35,26,35,34,35,47,35,45,35,43,35
73,22,28,44,13,29,50,47,13,29,50,16,32,16,49,29,39,16,13,47,49
74,23,21,23,48,24,40,24,48,23,47,35,37,6,5,6,27,35,26,39,16
