,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,1,0,19,48,19,48,24,1,0,1,13,43,13,29,35,31,35,21,23
1,1,28,16,39,26,35,32,35,1,25,1,0,35,30,35,18,35,30,35,16
2,2,16,23,29,39,9,14,29,15,16,4,29,14,40,14,9,11,29,36,29
3,3,35,22,28,31,35,3,35,37,6,26,35,41,35,37,1,24,1,28,44
4,4,16,39,29,24,48,19,1,19,7,19,48,19,47,19,48,19,9,11,31
5,5,6,27,6,5,6,27,35,30,35,17,35,45,35,18,35,31,28,44,13
6,6,37,35,32,35,26,35,30,28,45,35,17,35,32,9,11,9,32,35,26
7,7,19,7,19,1,13,29,32,9,14,29,4,16,39,47,49,29,15,47,19
8,8,35,1,24,1,25,1,28,1,37,1,35,37,35,9,36,9,32,35,26
9,9,32,35,8,35,22,35,3,35,31,28,1,0,35,31,11,9,19,1,28
10,10,29,50,47,39,26,35,30,28,1,19,48,24,48,24,1,13,1,35,37
11,11,31,11,29,6,5,6,27,6,29,4,47,4,29,36,9,12,9,39,16
12,12,29,39,9,11,29,6,5,6,16,23,47,4,29,36,29,50,29,50,16
13,13,30,13,44,35,8,35,43,35,33,35,30,35,45,28,1,0,1,28,13
14,14,9,39,29,32,16,39,9,39,29,23,16,39,29,28,1,35,32,29,35
15,15,29,12,9,14,9,32,35,34,35,27,6,27,35,31,28,29,36,29,4
16,16,39,9,39,47,23,29,36,9,36,9,39,47,39,29,28,43,28,44,28
17,17,10,17,13,26,6,16,13,30,28,30,28,9,11,31,11,31,35,43,35
18,18,35,17,13,1,24,47,23,47,19,9,12,29,35,46,19,7,19,46,24
19,19,46,19,9,11,9,36,9,12,9,32,16,50,29,32,16,23,47,23,16
20,20,35,26,35,37,35,47,23,16,4,29,36,9,36,29,12,9,39,9,39
21,21,23,29,32,16,13,44,13,43,35,37,35,45,28,13,1,28,1,0,19
22,22,28,9,11,9,39,16,4,29,23,16,39,9,12,9,39,29,32,16,39
23,23,48,24,47,23,48,19,0,19,29,49,47,49,47,19,29,6,5,6,5
24,24,48,24,48,24,1,35,31,35,34,35,46,24,40,24,46,24,48,19,38
25,25,1,13,47,4,47,19,48,19,1,28,22,28,30,28,30,35,33,35,26
26,26,35,44,13,1,0,1,19,29,13,30,28,1,35,37,35,9,28,29,4
27,27,35,46,19,9,32,9,36,9,12,29,11,31,35,27,35,45,35,31,35
28,28,1,13,26,35,27,35,17,13,26,35,33,35,46,19,1,19,38,19,48
29,29,23,48,19,1,24,1,24,1,28,31,11,9,36,9,39,29,39,16,13
30,30,28,31,35,8,35,18,35,44,35,38,19,9,32,35,33,35,46,24,48
31,31,35,27,6,5,6,27,6,16,39,9,39,29,4,47,23,47,49,47,28
32,32,9,39,16,28,44,28,9,36,9,32,9,12,9,28,30,35,20,35,37
33,33,35,30,28,44,35,0,35,20,35,17,35,18,35,30,28,30,28,31,28
34,34,35,30,35,34,35,3,35,21,23,29,19,48,24,29,49,47,50,16,6
35,35,26,35,26,35,17,10,17,13,16,39,16,50,47,28,29,28,30,28,45
36,36,9,11,9,36,9,32,35,30,28,1,0,1,0,1,28,31,28,43,13
37,37,35,46,35,30,28,1,24,48,19,9,11,29,50,47,23,16,39,9,32
38,38,35,16,23,47,13,30,28,31,28,45,35,46,19,0,1,35,22,35,30
39,39,16,28,1,0,19,38,35,3,35,42,35,9,39,29,50,47,28,29,6
40,40,14,29,39,16,39,16,4,47,50,16,6,5,6,5,6,27,6,5,6
41,41,35,45,35,41,35,18,35,9,39,29,49,47,23,48,23,29,12,29,13
42,42,35,31,28,1,24,48,24,47,49,16,32,16,39,16,4,16,32,35,42
43,43,13,28,30,28,1,28,13,29,10,29,15,47,24,29,39,29,28,13,26
44,44,35,44,28,43,28,43,35,30,28,30,28,16,23,48,19,9,39,16,13
45,45,35,30,28,31,35,27,35,45,35,46,19,1,24,47,49,47,13,17,10
46,46,24,47,24,48,23,21,35,33,35,47,50,47,49,47,49,47,13,43,13
47,47,23,47,23,16,32,16,39,29,19,38,35,17,35,1,28,30,13,30,35
48,48,24,47,39,29,49,47,28,30,28,22,28,22,35,37,35,46,19,29,36
49,49,47,50,47,15,47,15,16,32,16,23,47,35,30,28,1,35,26,13,26
50,50,47,15,47,35,32,29,24,40,24,40,14,40,24,48,24,29,10,29,28
51,0,1,13,1,19,29,32,35,20,35,17,35,30,28,1,0,19,29,13,26
52,1,28,30,35,26,13,29,28,30,28,30,28,44,35,47,49,29,13,47,39
53,2,16,2,16,49,47,23,47,39,16,39,29,12,9,39,9,32,9,39,26
54,3,35,34,35,9,32,9,39,9,36,9,39,47,23,16,23,16,39,16,50
55,4,16,23,16,23,47,15,29,4,47,23,47,15,29,14,9,39,9,35,9
56,5,6,27,6,27,6,29,12,29,35,32,9,39,9,19,29,32,29,13,43
57,6,26,35,32,29,36,9,36,29,11,9,32,35,42,35,26,6,37,6,26
58,7,19,9,28,30,28,47,24,47,15,29,36,9,32,35,3,35,26,13,47
59,8,35,33,35,9,39,9,32,16,32,35,30,35,20,35,1,35,32,16,32
60,9,14,40,14,9,32,16,49,16,4,47,19,7,19,48,24,48,24,46,19
61,10,29,50,47,4,47,13,28,9,36,29,35,26,39,16,23,16,28,1,19
62,11,9,39,16,32,29,39,9,11,31,28,30,28,16,6,27,35,17,35,1
63,12,9,32,9,12,9,35,41,35,22,35,38,35,38,35,43,35,31,28,16
64,13,29,49,29,36,9,39,16,28,16,32,16,2,16,32,9,36,29,39,47
65,14,29,28,30,28,22,35,37,35,33,35,47,23,21,23,21,23,47,4,29
66,15,47,50,47,49,47,49,16,2,16,32,9,35,31,35,37,35,37,1,24
67,16,13,43,35,32,16,2,16,39,29,36,9,39,16,2,16,39,29,6,16
68,17,35,0,35,22,35,21,23,16,39,9,14,9,36,29,36,29,24,48,24
