,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,19,38,35,30,35,3,35,26,13,26,35,26,35,37,1,28,30,28,16
1,1,28,44,35,27,6,37,1,19,47,23,16,32,16,35,26,6,5,6,5
2,2,16,32,29,36,9,36,29,36,29,11,29,32,29,28,47,50,16,23,47
3,3,35,43,35,21,23,47,13,1,28,1,0,19,29,15,29,12,9,36,9
4,4,29,15,29,39,16,39,16,4,16,32,16,39,9,36,29,19,46,19,48
5,5,6,5,6,16,15,29,28,30,28,22,35,32,16,28,30,35,18,35,3
6,6,27,6,16,4,16,2,16,50,47,23,21,23,16,32,16,32,29,35,9
7,7,19,9,11,29,35,27,35,16,23,16,23,47,23,47,35,30,35,27,6
8,8,35,47,39,9,39,9,12,9,39,26,13,16,39,9,39,16,49,47,23
9,9,32,9,11,31,35,8,35,38,19,48,19,46,19,1,28,29,35,17,13
10,10,17,35,33,35,34,35,8,35,31,28,45,35,8,35,26,35,29,15,47
11,11,29,32,29,50,47,15,29,11,9,12,29,32,35,37,1,28,22,28,29
12,12,29,32,29,35,26,35,21,23,16,39,9,32,35,33,35,20,35,27,35
13,13,28,1,19,0,35,45,35,31,11,9,28,31,28,30,28,44,35,30,35
14,14,9,39,9,19,38,35,8,35,27,6,16,32,35,9,12,9,39,16,32
15,15,16,32,16,28,44,28,30,13,30,35,22,28,30,28,30,35,1,13,44
16,16,13,29,36,29,4,29,4,47,50,47,50,29,14,9,32,9,11,9,36
17,17,10,29,10,17,10,29,32,16,13,16,50,29,28,13,29,10,17,13,30
18,18,35,26,13,44,35,0,1,28,43,28,1,0,1,0,35,43,35,32,16
19,19,47,49,16,4,47,49,47,13,1,28,31,35,43,35,1,28,45,28,47
20,20,35,30,28,1,25,1,37,1,0,1,28,31,28,22,28,13,43,28,16
21,21,35,43,13,30,28,30,28,29,24,29,36,9,32,9,28,13,26,35,33
22,22,35,31,11,31,28,30,28,29,28,43,35,44,13,1,24,48,24,40,24
