,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,1,35,27,35,30,28,45,35,31,28,30,28,44,35,18,35,30,35,41
1,1,0,1,28,45,35,26,35,8,35,29,28,31,35,34,35,27,6,16,49
2,2,16,39,29,36,29,23,48,23,29,36,29,6,27,6,37,35,37,1,37
3,3,35,8,35,26,39,16,50,29,28,30,13,47,23,47,24,40,14,40,14
4,4,16,39,16,32,9,39,16,49,29,28,44,35,44,28,45,28,29,39,9
5,5,6,27,6,27,35,34,35,0,1,25,1,37,35,44,13,43,13,16,2
6,6,5,6,5,6,29,12,9,39,16,35,38,19,46,19,1,19,48,19,38
7,7,19,7,19,1,24,40,14,9,39,9,39,16,23,16,50,47,23,47,4
8,8,35,3,35,27,6,16,15,29,36,9,39,9,32,35,31,11,9,36,29
9,9,32,16,23,29,14,29,12,29,32,9,11,9,39,47,23,16,15,16,32
10,10,17,10,17,10,17,13,26,39,29,13,17,10,29,12,9,36,9,36,29
11,11,9,11,31,11,29,23,47,28,30,35,0,1,28,29,12,29,39,26,35
12,12,9,39,9,32,16,23,16,32,9,19,1,28,31,11,29,32,29,12,9
13,13,29,50,47,19,47,49,16,6,16,39,9,35,32,16,32,29,50,29,10
14,14,40,14,9,36,29,11,9,36,9,32,16,32,16,2,16,23,16,50,47
15,15,16,39,16,13,44,28,16,13,47,19,29,23,21,23,48,23,16,4,47
16,16,23,21,35,3,35,31,35,31,28,31,11,31,11,9,39,9,32,9,12
17,17,13,1,0,1,37,35,3,35,1,25,1,19,48,19,47,13,26,35,27
18,18,35,37,35,0,1,24,48,24,46,35,43,35,33,35,21,23,16,32,29
19,19,38,19,1,35,33,35,47,23,21,23,48,19,1,0,19,47,28,1,28
20,20,35,26,13,43,28,44,28,31,11,31,11,29,10,29,36,9,11,29,19
21,21,35,0,35,30,28,45,35,16,28,45,35,26,35,20,35,31,28,13,44
22,22,35,26,35,37,35,22,35,46,35,44,35,44,28,30,28,30,28,47,4
23,23,16,32,16,23,16,32,35,1,0,1,28,30,35,26,6,29,12,9,19
24,24,40,24,1,24,46,35,37,1,28,13,47,35,33,35,33,35,37,6,29
25,25,1,19,47,23,47,13,17,10,29,49,47,39,16,50,16,28,30,28,9
26,26,13,29,39,16,50,16,32,29,11,9,32,16,23,16,4,16,49,47,50
27,27,6,16,4,29,15,47,39,9,36,29,14,40,14,9,36,9,28,45,28
28,28,29,28,47,23,48,24,1,28,22,35,45,35,16,32,16,32,16,13,44
29,29,15,16,4,47,35,20,35,1,13,26,35,41,35,27,35,17,35,32,9
30,30,28,13,26,35,30,13,16,2,16,2,16,39,26,35,26,35,33,35,34
31,31,35,26,35,32,29,11,9,32,35,26,39,29,4,47,50,47,49,29,35
32,32,16,32,29,23,47,50,47,23,47,13,43,35,41,35,37,1,24,46,19
33,33,35,37,1,19,0,1,37,35,30,28,1,0,19,48,24,47,35,18,35
34,34,35,0,1,24,29,39,29,19,46,35,29,50,16,13,1,19,0,1,19
35,35,0,1,25,1,28,16,39,16,39,26,35,33,35,33,35,27,6,27,35
36,36,9,12,9,39,47,39,9,32,9,32,35,21,35,37,6,16,2,16,32
37,37,1,35,0,1,0,1,25,1,24,1,35,26,13,1,28,31,11,31,35
38,38,19,38,19,9,35,22,35,26,6,27,6,5,6,37,35,20,35,43,35
39,39,9,32,35,29,23,29,50,47,50,47,24,48,24,47,19,7,19,0,1
40,40,14,29,14,29,36,29,23,47,23,47,13,26,13,43,28,44,28,30,35
41,41,35,47,49,47,49,29,28,43,28,30,28,29,28,1,28,1,28,30,28
42,42,35,18,35,41,35,33,35,22,35,3,35,1,0,35,31,35,8,35,38
43,43,13,30,28,16,15,29,50,47,4,47,50,47,35,27,6,37,6,5,6
44,44,35,33,35,46,35,31,35,34,35,31,35,45,35,3,35,26,35,30,28
45,45,35,0,1,24,47,39,9,39,26,39,16,32,35,26,39,29,14,40,14
46,46,19,9,19,48,23,47,49,47,4,29,50,47,24,48,19,29,19,47,19
47,47,15,29,14,9,39,9,11,9,35,33,35,30,28,29,35,20,35,20,35
48,48,23,16,39,16,23,48,19,1,37,1,19,7,19,1,25,1,25,1,28
49,49,29,49,29,15,29,13,17,13,44,13,47,28,29,49,47,39,9,12,9
50,50,47,23,47,50,16,32,9,19,9,39,9,32,9,39,29,39,9,11,29
51,0,35,18,35,45,35,37,35,41,35,33,35,26,39,9,36,29,35,16,49
52,1,0,19,0,1,28,45,28,29,36,29,35,46,24,48,24,40,14,9,19
53,2,16,32,16,32,16,32,29,36,9,11,31,35,38,35,9,11,9,36,9
54,3,35,26,35,0,1,24,46,24,46,19,48,23,29,14,9,11,31,35,33
55,4,16,15,16,35,31,11,29,36,9,32,16,32,9,12,29,35,43,35,26
56,5,6,37,35,3,35,44,35,26,39,29,10,17,35,20,35,30,35,34,35
57,6,27,35,34,35,0,1,0,19,38,35,31,28,31,28,22,28,30,28,47
58,7,19,29,35,22,35,32,16,23,47,28,31,28,16,15,16,35,26,39,16
59,8,35,33,35,32,29,49,29,24,48,19,1,28,1,24,47,23,47,15,47
60,9,32,9,39,47,49,47,49,29,49,47,19,47,4,16,32,16,39,26,6
61,10,17,35,29,19,48,24,29,19,0,35,20,35,29,4,29,39,29,24,1
62,11,29,12,9,19,46,24,48,24,47,39,29,28,30,28,47,35,0,19,38
63,12,9,32,9,39,9,14,29,13,43,35,29,13,1,0,1,19,0,35,26
64,13,16,39,9,11,9,36,29,39,9,19,48,23,21,35,18,35,22,35,27
65,14,40,14,29,39,16,4,16,4,16,32,29,15,29,39,29,10,29,14,9
66,15,16,39,29,32,16,32,9,36,29,36,29,19,38,35,34,35,22,35,22
67,16,39,9,32,16,39,9,36,9,11,9,36,9,11,9,36,9,36,29,23
68,17,10,17,13,29,15,16,23,48,19,47,50,47,49,16,23,47,15,16,6
69,18,35,21,35,29,28,29,39,29,11,31,35,3,35,41,35,38,35,47,19
70,19,29,12,29,35,3,35,45,28,31,28,30,35,44,35,22,35,20,35,18
71,20,35,31,11,9,32,35,33,35,34,35,46,19,38,19,9,39,16,39,16
72,21,35,3,35,42,35,46,35,33,35,9,35,26,35,42,35,21,35,43,28
73,22,35,1,19,1,37,35,33,35,3,35,37,35,33,35,33,35,43,13,1
74,23,48,23,47,39,16,13,47,50,29,39,26,35,16,23,16,15,29,19,1
75,24,1,0,19,1,35,0,19,47,4,16,32,29,23,48,24,46,19,47,13
76,25,1,19,1,28,44,35,26,13,44,28,13,28,45,28,43,13,30,13,44
77,26,39,9,12,9,32,9,32,16,50,47,28,31,35,1,0,35,46,35,47
78,27,6,29,10,17,35,43,13,17,10,29,35,17,35,31,11,9,12,29,32
79,28,1,24,46,19,7,19,48,24,47,49,47,4,47,39,16,39,16,39,9
80,29,6,5,6,27,6,27,35,31,35,33,35,9,12,9,39,29,14,40,24
81,30,35,42,35,31,35,37,1,37,35,16,35,26,35,33,35,37,35,18,35
