,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,19,9,11,9,39,16,4,47,24,29,28,31,35,37,6,27,35,30,28
1,1,13,17,35,21,35,46,35,47,49,16,32,16,13,29,19,1,19,48,23
2,2,16,32,9,36,9,39,16,39,16,39,9,36,9,11,9,19,48,24,40
3,3,35,33,35,20,35,26,6,5,6,27,35,47,50,16,39,47,49,47,13
4,4,16,39,16,6,29,50,29,36,29,13,30,28,9,19,7,19,38,19,9
5,5,6,37,35,20,35,16,4,29,39,9,11,31,28,22,35,37,35,20,35
6,6,26,35,43,35,16,39,9,28,9,39,9,12,29,12,29,15,47,28,31
7,7,19,29,32,16,13,16,32,29,39,26,39,47,23,16,32,9,35,3,35
8,8,35,26,35,9,36,29,14,29,19,47,23,48,24,48,24,46,24,48,19
9,9,39,9,12,29,39,47,49,47,35,34,35,27,6,29,32,16,6,27,6
10,10,17,10,17,13,43,28,9,32,9,39,9,12,29,39,16,32,16,23,16
11,11,9,32,9,19,1,0,19,9,12,9,12,9,11,9,28,45,35,16,28
12,12,29,49,16,6,5,6,37,35,8,35,29,14,9,28,29,10,17,13,44
13,13,44,28,30,28,44,13,1,24,48,19,0,35,30,28,47,23,16,49,16
14,14,29,36,9,28,1,0,35,9,35,34,35,8,35,33,35,0,19,48,24
15,15,16,32,29,49,47,49,29,15,47,13,30,28,43,35,26,35,45,35,47
16,16,49,47,49,47,15,47,4,29,15,47,50,29,28,30,35,27,6,27,6
17,17,13,47,49,29,50,16,23,48,24,47,23,48,24,1,28,31,28,16,39
18,18,35,45,28,30,28,31,28,43,13,28,30,28,47,19,0,1,0,19,9
19,19,48,19,29,14,9,39,9,12,9,36,9,32,16,23,21,23,16,23,16
20,20,35,31,11,9,39,16,39,16,13,43,35,34,35,9,36,29,19,29,32
21,21,35,8,35,29,36,29,28,30,13,28,30,28,44,13,26,13,28,31,11
22,22,28,29,28,43,13,30,35,17,35,37,6,5,6,37,35,9,32,9,39
23,23,48,24,1,0,1,13,17,10,17,10,17,35,8,35,32,35,16,32,16
24,24,46,35,30,28,30,28,13,17,35,16,2,16,39,16,32,29,32,9,28
25,25,1,13,29,36,9,19,48,24,48,23,47,50,47,49,47,50,29,28,30
26,26,35,33,35,45,35,46,24,40,24,48,19,1,0,1,37,35,41,35,27
