,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
77,26,13,26,35,8,35,37,1,28,30,35,3,35,31,35,26,39,29,4,29
78,27,6,26,13,43,13,30,28,30,28,1,25,1,19,29,39,29,28,1,0
79,28,43,35,37,6,37,35,30,13,28,1,35,32,16,49,29,36,9,32,9
80,29,39,16,49,29,39,29,39,9,14,9,11,9,11,31,28,1,0,1,0
81,30,28,13,47,4,29,39,16,32,9,11,9,39,29,14,9,11,29,19,48
82,31,28,45,35,33,35,9,11,29,12,29,23,21,35,33,35,34,35,22,28
83,32,35,44,35,9,32,16,15,29,32,9,12,29,14,29,50,29,28,9,36
84,33,35,22,28,1,28,31,28,9,12,9,36,9,19,48,23,16,2,16,4
85,34,35,1,25,1,28,45,28,16,28,30,13,30,28,13,28,29,32,29,35
86,35,17,10,17,13,26,35,37,35,38,19,29,36,9,12,9,36,29,36,9
87,36,9,39,16,32,29,32,29,6,27,35,17,10,17,13,29,19,1,28,47
88,37,35,42,35,37,35,26,13,26,13,28,29,12,9,36,9,12,29,39,16
89,38,19,1,28,31,28,29,39,9,32,35,27,35,27,35,27,35,29,19,29
90,39,29,39,16,39,16,39,47,4,29,24,46,19,9,39,47,50,47,50,16
91,40,24,46,35,29,28,1,19,38,19,29,11,31,35,37,6,27,35,31,28
92,41,35,22,35,33,35,21,35,18,35,0,1,13,17,13,16,49,47,24,48
93,42,35,46,35,16,13,30,28,31,35,37,35,26,39,29,50,16,49,47,50
94,43,13,16,39,9,32,16,39,9,39,29,11,31,35,27,35,46,19,38,19
95,44,13,1,24,29,24,47,50,47,19,9,32,29,50,47,49,29,24,46,19
96,45,35,33,35,1,0,1,28,29,10,29,4,16,32,16,32,29,50,29,50
97,46,35,30,35,20,35,46,35,9,36,29,14,40,14,40,24,48,19,46,24
98,47,24,29,14,29,15,47,23,47,50,47,39,16,23,47,13,26,39,16,4
99,48,19,7,19,46,24,40,24,46,24,47,50,47,23,21,35,17,10,17,35
100,49,29,14,29,50,47,49,16,15,29,12,9,39,16,23,16,50,16,15,16
101,50,16,4,16,32,9,39,26,13,16,35,22,35,32,35,26,39,16,4,47
102,0,19,0,19,48,24,48,19,47,50,47,50,16,39,26,6,16,23,48,19
103,1,19,47,4,16,4,29,39,9,39,16,28,29,28,30,35,33,35,31,35
104,2,16,28,30,35,30,28,30,28,9,11,29,19,7,19,47,28,31,28,30
105,3,35,44,35,9,36,9,28,30,28,43,35,27,6,27,35,27,6,27,6
106,4,47,24,40,14,29,23,21,35,30,13,17,13,30,28,16,32,9,12,9
107,5,6,5,6,26,35,46,19,9,11,29,24,40,14,9,35,33,35,29,4
108,6,27,6,16,23,21,35,27,6,26,35,3,35,0,19,9,32,29,4,16
109,7,19,38,35,27,35,46,24,40,24,48,19,48,19,48,24,40,24,46,35
110,8,35,30,28,43,35,43,28,30,35,31,35,33,35,16,39,16,2,16,39
111,9,35,31,11,9,36,9,36,9,11,9,32,9,39,29,50,47,24,47,49
112,10,17,10,29,23,16,6,5,6,5,6,27,35,41,35,27,6,27,6,5
113,11,9,32,16,49,47,23,21,35,37,35,8,35,18,35,41,35,1,19,38
114,12,9,11,9,35,37,6,26,13,29,35,34,35,1,19,48,23,29,39,9
115,13,16,32,16,39,9,19,1,37,35,27,6,29,50,16,35,42,35,22,28
116,14,9,35,38,19,48,24,29,15,29,50,29,35,1,37,35,21,23,16,32
117,15,29,32,35,18,35,31,28,16,4,16,28,45,35,38,35,33,35,26,35
118,16,32,9,32,35,37,1,28,43,35,1,35,46,24,47,50,47,23,48,24
119,17,10,17,35,44,13,26,35,22,28,1,28,30,28,30,28,29,14,40,24
120,18,35,33,35,26,35,30,28,43,35,27,6,27,35,33,35,31,28,31,35
121,19,9,39,9,35,38,19,7,19,38,19,1,24,47,28,45,35,1,28,29
122,20,35,38,19,0,19,48,24,47,4,29,10,17,10,29,39,9,39,47,15
123,21,35,0,1,13,28,1,19,48,24,48,23,48,19,48,19,48,19,38,35
124,22,28,30,35,22,35,37,1,25,1,35,30,28,22,35,41,35,37,1,28
125,23,21,23,16,39,47,50,16,39,26,35,44,13,28,30,13,28,45,28,31
126,24,29,24,48,19,48,24,46,35,45,28,30,35,27,35,33,35,38,35,26
127,25,1,28,1,19,46,24,48,19,47,49,16,35,38,35,9,28,29,10,29
128,26,39,16,50,29,28,44,28,30,28,30,13,1,35,0,19,9,32,29,32
129,27,6,27,35,1,19,7,19,0,1,13,16,32,16,32,35,29,32,16,39
130,28,30,28,9,39,9,36,9,32,35,33,35,44,35,22,35,0,19,9,39
131,29,28,1,0,35,37,35,9,39,16,35,44,13,17,10,29,35,22,28,22
132,30,28,31,28,30,28,30,13,29,28,29,35,16,39,9,14,9,36,29,36
133,31,28,1,37,35,0,1,19,48,19,46,35,26,35,1,35,32,35,27,6
134,32,35,38,35,30,28,30,35,9,12,29,19,1,28,22,28,47,49,47,4
135,33,35,43,28,16,23,47,39,16,35,33,35,43,35,32,29,24,47,4,47
136,34,35,45,28,44,13,26,35,45,28,29,49,47,19,0,1,37,6,37,6
137,35,3,35,9,35,30,13,1,0,19,9,11,31,35,45,28,44,13,17,35
138,36,9,19,46,24,29,28,1,28,31,28,29,14,40,24,1,0,1,19,9
139,37,6,37,35,37,6,5,6,37,6,37,35,18,35,29,10,29,10,17,10
140,38,19,29,19,9,36,9,12,9,36,9,32,29,10,29,19,1,0,35,27
141,39,9,39,9,14,40,14,29,39,16,28,43,28,16,39,16,32,35,20,35
142,40,24,1,25,1,19,48,24,1,13,17,35,42,35,17,35,38,35,31,11
143,41,35,0,19,7,19,0,1,0,35,47,49,29,39,16,39,26,39,9,12
144,42,35,16,49,47,15,47,49,29,32,9,39,16,39,16,32,16,35,47,28
145,43,13,47,13,44,13,28,1,28,45,35,30,28,45,28,30,35,34,35,16
146,44,28,13,16,23,29,11,31,35,37,35,8,35,0,1,28,1,37,35,27
147,45,35,33,35,1,28,29,28,29,6,26,6,27,6,5,6,27,35,32,16
148,46,19,47,49,47,15,29,6,27,35,33,35,16,39,16,23,16,39,16,32
149,47,19,1,28,30,28,22,35,29,39,26,13,43,28,1,28,31,28,9,28
150,48,19,9,11,31,35,46,19,48,24,47,49,16,23,47,23,16,32,9,19
151,49,47,50,16,13,44,28,29,24,1,28,13,1,37,35,37,6,5,6,26
152,50,47,49,47,15,16,32,29,32,16,39,9,39,9,32,35,32,16,13,43
153,0,35,29,50,16,13,16,32,16,23,47,28,44,13,16,32,16,4,47,15
154,1,0,1,37,35,27,35,26,39,26,35,31,28,13,47,28,29,12,9,39
155,2,16,23,47,50,47,23,48,23,16,50,29,28,1,35,26,6,37,1,0
156,3,35,41,35,42,35,33,35,26,6,16,39,9,28,22,35,32,35,18,35
157,4,29,11,29,13,30,13,1,28,31,28,1,28,45,35,27,6,5,6,27
158,5,6,27,35,20,35,31,11,29,10,29,50,16,49,29,32,9,11,29,49
159,6,5,6,27,35,0,1,0,19,29,15,47,28,30,28,13,47,24,46,35
160,7,19,46,24,29,50,47,19,46,35,16,39,9,32,16,50,47,24,46,24
161,8,35,44,35,26,6,5,6,27,6,29,39,16,32,29,35,37,35,33,35
162,9,11,31,35,20,35,46,35,33,35,38,19,48,24,46,19,9,11,31,35
163,10,29,32,9,36,29,13,47,19,38,35,27,6,27,6,27,6,5,6,26
164,11,9,39,9,32,16,39,16,49,16,32,35,26,35,22,28,30,13,17,10
165,12,9,11,31,28,29,15,16,23,21,23,47,23,47,39,29,28,13,26,6
166,13,43,28,30,28,31,35,26,6,26,35,41,35,43,13,44,28,30,28,43
167,14,9,36,29,32,35,43,13,28,30,28,16,23,29,32,16,32,16,49,16
168,15,29,6,27,35,29,28,44,13,30,28,16,23,47,4,29,4,47,28,43
169,16,32,9,36,9,36,9,36,9,39,16,15,29,11,31,28,30,28,31,11
170,17,10,17,35,21,35,0,35,37,35,41,35,33,35,45,35,41,35,3,35
171,18,35,21,35,30,13,1,37,1,0,35,38,19,29,28,31,35,17,10,17
172,19,29,6,16,50,16,39,29,11,9,39,9,19,0,1,0,1,0,1,37
173,20,35,34,35,32,16,39,26,35,29,28,22,28,30,35,34,35,21,23,16
174,21,23,16,32,9,32,9,35,21,23,47,13,1,28,9,14,40,14,9,12
175,22,28,16,32,16,39,9,12,29,6,26,39,9,32,9,12,29,4,29,39
176,23,47,50,29,4,16,39,16,50,47,23,16,39,9,28,22,28,31,11,9
177,24,48,24,1,13,16,23,47,23,48,24,46,19,48,24,29,24,47,50,29
178,25,1,19,47,19,46,35,30,35,32,35,21,35,42,35,21,35,37,6,27
179,26,35,20,35,33,35,21,23,47,49,29,6,26,13,26,6,26,35,0,35
180,27,6,29,15,29,35,33,35,26,35,34,35,0,1,19,47,49,16,39,29
181,28,29,6,27,6,27,6,37,1,0,1,28,30,28,31,11,31,28,16,39
182,29,11,9,11,31,28,31,35,0,1,13,44,35,29,36,29,11,9,36,9
183,30,28,30,35,26,35,45,35,26,35,9,12,9,39,9,32,35,32,16,23
184,31,28,30,35,30,28,45,35,21,35,3,35,32,16,15,47,28,1,0,19
185,32,9,12,9,12,9,39,26,39,9,12,29,24,48,24,48,24,48,19,29
186,33,35,1,35,16,50,29,28,31,35,38,35,26,35,30,28,22,35,20,35
187,34,35,32,16,39,26,35,17,35,0,1,24,48,24,1,19,9,11,9,39
188,35,3,35,30,28,30,28,16,35,26,35,38,35,45,28,29,36,9,14,9
189,36,29,39,9,35,0,1,28,31,28,44,28,31,35,33,35,31,28,22,35
190,37,6,27,6,16,35,27,6,37,35,17,35,32,16,32,35,46,19,38,35
191,38,19,48,23,16,23,29,19,1,19,9,32,29,15,47,35,38,35,26,35
192,39,9,12,9,32,35,22,35,43,13,26,13,43,13,17,13,47,13,26,6
193,40,24,29,10,29,23,29,36,29,6,27,35,26,35,42,35,29,28,30,13
194,41,35,33,35,26,13,43,13,29,36,29,35,30,28,30,28,9,11,29,50
195,42,35,43,28,1,0,1,28,45,28,9,14,9,36,29,13,1,28,45,35
196,43,28,43,13,44,13,30,28,29,23,48,24,29,50,16,2,16,23,16,32
197,44,35,42,35,21,35,26,35,27,35,32,9,14,29,13,28,30,28,44,28
198,45,28,30,13,28,43,35,3,35,27,6,27,6,27,35,44,13,29,36,9
199,46,19,48,23,21,23,16,6,16,32,35,21,23,47,13,28,16,15,29,12
200,47,49,47,49,47,13,47,50,47,49,47,49,29,11,9,11,31,35,47,49
201,48,24,1,0,19,1,28,30,28,31,28,29,35,26,6,27,6,5,6,27
202,49,47,24,48,19,29,11,31,28,29,10,17,13,1,19,29,19,48,24,48
203,50,47,39,16,39,26,39,9,39,16,39,16,23,16,32,16,39,9,35,33
204,0,19,1,28,31,35,0,19,0,35,1,28,31,35,41,35,38,35,37,35
205,1,0,19,1,28,13,26,35,34,35,32,29,10,29,39,29,39,9,32,9
206,2,16,13,30,13,26,39,29,19,1,13,44,13,28,1,28,13,17,10,29
207,3,35,26,13,47,50,47,23,48,19,48,19,46,24,1,0,1,28,1,0
208,4,47,19,29,50,29,36,9,36,29,28,1,28,1,28,1,13,26,35,41
209,5,6,26,35,43,28,44,28,44,13,28,13,26,35,47,49,47,24,47,49
210,6,37,35,46,24,47,35,30,35,26,6,26,35,17,13,43,35,29,23,16
211,7,19,48,19,47,13,47,39,9,12,29,49,47,39,9,11,29,32,16,32
212,8,35,30,35,42,35,34,35,21,35,32,9,32,35,22,28,45,28,22,35
213,9,35,32,9,32,16,28,47,50,47,28,45,28,29,13,47,24,29,36,9
214,10,17,35,0,35,33,35,31,28,30,28,16,15,29,4,47,28,1,25,1
215,11,29,36,29,15,29,32,16,39,29,32,16,32,16,49,47,4,16,6,5
216,12,9,39,29,32,9,39,47,28,29,15,29,39,26,35,47,35,38,19,7
217,13,43,13,29,32,29,28,29,12,29,11,31,28,1,0,35,3,35,38,19
218,14,40,24,40,24,29,28,16,35,32,29,23,48,24,48,24,48,19,29,15
219,15,16,4,29,11,31,28,1,0,35,29,24,1,37,35,37,6,29,36,29
220,16,32,16,32,35,8,35,16,32,9,36,29,13,1,19,47,28,1,25,1
221,17,13,16,32,9,39,9,32,9,32,16,6,37,6,27,6,5,6,37,1
222,18,35,22,28,47,13,43,35,32,16,39,29,28,45,28,30,13,43,35,20
223,19,48,24,40,24,47,23,16,32,29,28,45,28,45,35,0,19,29,14,40
224,20,35,1,13,17,35,42,35,32,16,13,1,0,19,9,32,29,28,13,47
225,21,35,32,35,18,35,30,13,28,1,28,30,28,31,35,42,35,26,39,47
226,22,35,33,35,27,35,18,35,26,39,16,32,9,32,9,36,29,36,9,32
227,23,47,28,1,37,35,27,35,20,35,29,39,9,39,9,32,35,38,19,29
228,24,29,36,29,32,35,30,28,29,32,9,36,9,28,30,28,1,28,44,13
229,25,1,28,30,28,47,39,16,35,45,28,31,28,45,28,9,32,16,28,47
230,26,39,16,28,1,25,1,0,35,17,35,16,32,16,35,27,35,29,10,17
231,27,6,5,6,26,35,1,25,1,28,47,15,47,35,42,35,47,35,33,35
232,28,30,28,16,32,9,11,9,35,22,35,27,6,27,35,0,19,1,37,35
233,29,19,1,25,1,37,1,28,30,28,30,28,16,32,16,2,16,32,35,38
234,30,28,30,35,43,35,3,35,31,28,9,36,9,12,9,11,31,11,9,35
235,31,35,1,28,22,35,17,10,29,24,40,24,40,24,47,39,47,49,16,4
236,32,29,15,16,6,26,35,32,16,2,16,23,21,23,21,35,0,19,1,25
237,33,35,32,9,35,26,35,33,35,45,35,0,19,0,19,0,19,29,50,29
238,34,35,33,35,32,9,11,31,35,31,11,31,35,21,35,22,35,34,35,33
239,35,33,35,33,35,43,35,9,14,40,24,48,19,1,37,35,21,35,47,4
240,36,9,39,16,32,9,39,16,35,20,35,18,35,42,35,45,35,9,39,29
241,37,35,27,6,27,35,42,35,41,35,27,35,18,35,32,35,42,35,20,35
242,38,35,41,35,42,35,33,35,20,35,17,13,47,50,47,24,48,23,48,24
243,39,29,28,30,13,44,35,29,11,31,28,13,1,25,1,25,1,28,1,28
244,40,24,40,24,47,49,47,50,29,39,9,12,9,12,9,32,9,32,16,39
245,41,35,16,39,26,35,41,35,37,35,33,35,18,35,32,16,39,16,39,9
246,42,35,8,35,31,28,1,28,45,35,27,6,27,35,31,28,9,19,7,19
247,43,35,31,28,47,24,29,50,47,49,47,28,29,11,9,12,9,28,31,35
248,44,28,22,28,29,10,29,6,26,39,26,13,43,13,16,49,47,23,47,23
249,45,28,47,19,0,35,20,35,22,35,42,35,16,15,29,32,9,28,43,13
250,46,24,48,19,1,28,29,12,29,28,47,50,29,6,27,6,27,6,26,35
251,47,13,47,50,29,13,16,32,9,12,29,15,16,15,47,24,29,28,13,47
252,48,24,46,35,38,19,0,1,24,46,19,48,19,48,19,48,19,1,0,35
253,49,47,49,47,35,26,6,16,28,31,11,9,39,47,50,16,23,47,50,47
254,50,47,24,47,49,29,6,16,13,29,23,16,32,16,39,16,28,44,13,29
255,0,19,29,12,9,32,16,23,21,35,8,35,18,35,33,35,31,35,0,35
256,1,0,35,21,23,16,32,35,33,35,32,16,32,35,9,32,16,32,35,30
257,2,16,32,9,39,16,13,43,28,16,32,35,26,35,9,11,9,39,9,35
258,3,35,33,35,34,35,34,35,27,6,26,35,32,29,39,16,49,16,32,35
259,4,29,39,9,19,1,35,3,35,26,35,38,35,22,28,44,13,17,35,47
260,5,6,5,6,5,6,5,6,5,6,29,23,47,39,9,11,31,28,30,28
261,6,5,6,27,35,8,35,30,28,29,35,31,11,29,13,29,4,16,39,47
262,7,19,9,12,29,15,29,28,16,23,21,23,47,13,16,15,29,13,26,35
263,8,35,38,35,43,35,32,35,47,35,29,13,16,32,35,32,35,18,35,30
264,9,39,16,15,29,36,9,36,29,10,29,14,40,14,40,24,40,24,1,24
265,10,29,39,29,50,47,50,47,35,38,35,46,24,48,19,38,35,31,28,1
266,11,31,35,34,35,3,35,29,49,16,49,29,15,47,49,29,35,43,35,9
267,12,9,12,9,14,9,36,9,39,9,36,29,35,41,35,41,35,17,10,17
268,13,16,23,47,39,16,15,29,36,29,49,16,49,16,4,29,28,22,35,20
269,14,40,14,9,32,29,32,29,24,46,35,33,35,1,37,35,43,35,0,1
270,15,16,32,35,18,35,43,35,32,35,1,0,35,31,28,43,28,29,36,29
271,16,13,16,39,29,12,29,49,47,28,1,13,29,39,9,39,47,19,9,12
272,17,10,29,50,47,49,16,39,9,36,29,6,26,35,42,35,34,35,9,12
273,18,35,30,28,45,35,26,13,29,10,17,35,30,28,16,2,16,39,47,24
274,19,9,32,16,13,26,35,33,35,37,1,35,45,35,22,35,33,35,27,35
275,20,35,45,35,21,35,27,6,16,39,29,15,16,35,16,23,47,13,47,28
276,21,23,16,32,16,32,9,19,29,49,16,15,29,49,16,2,16,32,16,23
277,22,28,30,28,1,28,1,13,1,19,29,19,48,24,40,14,9,39,26,39
278,23,48,19,48,24,48,19,48,19,29,36,29,36,29,32,9,36,9,39,16
279,24,47,24,40,24,48,19,48,19,48,19,9,39,9,36,29,13,30,28,43
280,25,1,35,38,19,1,0,1,19,47,50,47,23,16,32,16,15,29,23,16
281,26,35,45,28,47,49,47,4,29,39,16,23,48,23,21,35,30,35,0,1
282,27,6,5,6,37,6,27,6,26,13,44,28,30,28,9,32,16,32,16,32
283,28,30,35,17,35,20,35,9,36,9,39,29,10,29,32,9,11,31,35,31
284,29,19,29,49,47,19,1,0,1,24,48,23,16,49,29,28,44,28,1,28
285,30,13,1,37,6,29,15,47,15,29,24,29,50,47,49,47,19,0,35,37
286,31,28,30,13,29,10,17,13,47,49,29,36,9,36,9,11,31,11,31,28
287,32,29,6,27,35,45,35,29,50,29,19,9,11,9,14,40,24,48,23,21
288,33,35,31,28,16,39,29,6,26,35,41,35,27,6,27,6,27,6,37,6
289,34,35,33,35,41,35,37,6,5,6,27,6,27,6,27,6,26,13,28,43
