,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,1,28,43,35,1,28,31,35,44,13,28,30,28,9,12,9,39,29,32
1,1,19,7,19,1,35,38,35,3,35,27,6,26,39,29,39,29,19,29,32
2,2,16,15,47,23,47,15,29,32,16,4,29,28,29,11,9,28,1,25,1
3,3,35,21,35,18,35,31,35,21,35,27,35,38,19,29,50,47,50,47,15
4,4,16,28,44,28,31,35,45,35,44,28,44,28,13,44,13,17,10,29,32
5,5,6,5,6,27,35,33,35,47,4,29,14,9,39,9,12,9,39,9,39
6,6,27,6,5,6,27,35,27,35,45,28,1,19,48,19,47,49,47,23,16
7,7,19,46,24,29,14,29,28,16,4,47,50,16,32,16,50,16,6,27,35
8,8,35,26,6,27,6,16,32,16,39,9,28,13,47,50,16,50,47,49,47
9,9,14,40,24,46,24,47,35,33,35,31,35,43,28,1,25,1,0,1,13
10,10,17,10,29,36,29,28,31,28,1,0,19,29,12,9,19,48,24,29,6
11,11,9,11,9,19,38,19,7,19,47,23,16,49,47,15,47,35,30,28,45
12,12,29,19,29,39,29,28,29,6,27,6,27,35,32,29,14,9,19,29,19
13,13,44,35,42,35,21,23,16,28,16,28,13,16,32,29,49,47,35,22,28
14,14,40,24,48,19,7,19,46,35,20,35,42,35,26,39,29,6,5,6,27
15,15,16,23,47,23,16,23,48,19,46,35,43,35,44,13,30,28,47,50,47
16,16,39,26,6,26,13,43,13,26,35,37,1,25,1,13,44,28,45,28,13
17,17,10,29,28,31,11,31,28,29,19,48,19,9,39,26,6,27,35,9,36
18,18,35,32,16,13,16,28,9,36,9,32,16,15,29,4,47,50,29,19,0
19,19,1,13,16,32,16,35,31,28,47,50,47,50,29,28,22,28,16,39,9
20,20,35,33,35,46,24,48,19,47,39,16,35,32,29,23,16,32,16,32,16
21,21,23,16,23,29,50,29,15,29,32,16,50,47,35,3,35,33,35,37,6
22,22,35,30,28,9,32,16,32,29,39,16,23,48,23,47,49,29,23,29,35
23,23,21,35,46,35,27,6,37,1,0,1,19,47,49,29,15,29,14,9,39
24,24,48,24,40,14,40,14,9,39,29,32,9,12,9,12,9,14,29,14,29
25,25,1,28,45,35,32,16,32,29,11,31,35,26,35,41,35,34,35,27,6
26,26,35,29,36,9,32,9,36,29,10,29,11,9,28,30,35,47,13,16,23
27,27,6,29,49,16,13,47,15,29,35,3,35,38,19,7,19,48,24,40,24
28,28,29,4,29,6,5,6,16,23,47,35,30,13,1,19,29,32,9,12,9
29,29,36,9,36,29,6,27,35,18,35,26,6,27,35,20,35,37,35,1,19
30,30,28,9,39,26,13,29,28,45,35,22,28,22,35,29,10,17,10,17,10
31,31,35,38,19,29,6,27,6,5,6,5,6,27,35,41,35,29,49,16,32
32,32,35,22,28,31,28,29,15,29,4,16,50,29,36,29,32,9,32,16,35
33,33,35,27,35,33,35,33,35,26,39,9,36,9,36,9,39,9,28,29,12
34,34,35,26,6,27,6,5,6,27,6,27,35,20,35,46,35,22,28,16,28
35,35,26,6,27,6,29,6,27,6,26,39,29,36,29,23,16,32,29,35,30
36,36,9,32,9,12,29,6,5,6,27,6,29,23,29,32,16,39,16,49,29
37,37,35,20,35,47,13,1,28,47,23,16,32,16,39,9,39,29,49,16,15
38,38,35,33,35,47,49,29,24,46,35,20,35,43,28,1,25,1,28,1,0
39,39,9,11,29,4,47,13,30,35,31,28,30,35,21,23,29,12,9,28,1
40,40,14,29,49,29,49,16,15,16,35,38,35,1,25,1,24,47,28,43,28
41,41,35,38,35,22,35,30,28,43,28,30,28,30,35,30,28,43,35,31,35
42,42,35,46,19,7,19,47,49,47,23,47,13,16,32,16,28,9,11,9,32
43,43,28,31,28,31,28,1,37,1,13,1,0,1,25,1,24,48,24,48,23
44,44,35,33,35,26,13,28,44,13,44,28,45,35,46,24,47,50,47,50,47
45,45,35,26,6,5,6,37,35,33,35,33,35,30,35,0,1,24,48,24,1
46,46,19,48,19,48,19,48,24,48,24,40,14,40,24,48,24,29,4,16,50
47,47,24,47,23,47,39,16,15,16,32,16,23,47,49,47,23,47,23,16,39
48,48,23,21,23,47,24,29,28,1,13,1,37,6,27,6,27,6,27,35,37
49,49,47,19,1,28,1,19,1,19,48,24,40,24,40,14,9,11,31,35,37
50,50,29,49,47,23,47,50,29,49,29,39,47,19,0,19,47,39,9,32,35
51,0,1,0,35,33,35,20,35,20,35,22,35,37,35,32,16,32,9,36,9
52,1,13,44,35,26,13,16,49,29,19,48,19,48,19,46,19,48,24,48,19
53,2,16,32,9,32,16,28,30,35,31,35,1,24,46,35,31,28,30,13,44
54,3,35,18,35,31,11,9,35,32,35,47,23,29,39,9,19,0,35,33,35
55,4,47,50,47,15,16,39,16,23,29,15,47,4,47,49,47,23,48,19,7
56,5,6,5,6,37,35,41,35,38,19,48,19,48,24,40,14,9,39,16,2
57,6,29,14,9,32,35,33,35,0,1,37,6,26,35,21,35,38,35,30,28
58,7,19,47,24,40,24,1,24,40,24,47,15,16,4,16,23,47,15,29,4
59,8,35,44,35,30,13,44,28,1,19,38,35,46,19,46,24,1,0,1,0
60,9,36,9,35,18,35,42,35,26,35,17,13,28,1,28,43,13,44,13,47
61,10,29,32,35,31,35,43,35,26,35,45,35,45,35,22,28,16,2,16,49
62,11,9,36,29,36,9,36,9,36,29,35,8,35,37,35,30,35,47,15,29
63,12,9,11,31,28,47,24,47,23,16,6,29,15,47,39,29,19,7,19,1
64,13,26,39,26,13,28,16,39,9,35,3,35,45,28,30,13,43,35,17,35
65,14,9,32,29,23,47,23,47,13,1,24,47,39,29,6,5,6,37,35,1
66,15,47,24,40,14,40,14,40,24,47,50,47,49,47,49,47,15,47,50,47
67,16,39,16,35,18,35,46,19,9,36,9,36,29,10,17,13,29,15,16,49
68,17,13,30,28,29,36,29,4,29,4,47,19,29,19,9,39,47,19,46,35
69,18,35,44,13,16,23,16,2,16,13,1,28,1,25,1,0,35,41,35,38
70,19,0,1,19,1,13,43,28,13,26,13,29,15,16,28,45,35,27,35,45
71,20,35,16,39,16,39,29,19,1,24,48,19,7,19,38,19,1,13,30,28
72,21,35,33,35,33,35,20,35,32,29,50,47,24,47,39,47,50,47,19,29
73,22,35,17,35,34,35,20,35,1,0,1,0,19,1,25,1,25,1,35,20
74,23,47,23,47,24,47,23,16,50,16,39,16,39,26,35,33,35,47,24,29
75,24,48,24,29,49,16,39,26,35,27,6,29,12,29,24,40,24,29,12,9
