,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,19,47,24,1,0,1,37,35,31,35,41,35,17,13,28,1,19,48,24
1,1,0,19,7,19,48,19,1,35,41,35,44,28,30,28,31,35,33,35,37
2,2,16,32,16,15,16,23,21,35,43,35,8,35,46,19,29,15,16,13,17
3,3,35,47,23,21,35,22,35,41,35,37,6,5,6,29,11,9,32,35,20
4,4,16,6,27,6,27,35,21,23,47,49,47,35,41,35,3,35,27,6,37
5,5,6,27,35,38,35,31,28,30,28,30,28,29,35,27,6,27,35,18,35
6,6,37,35,8,35,46,19,47,49,29,10,29,32,29,28,43,28,45,28,30
7,7,19,38,35,33,35,21,23,47,35,9,11,31,28,13,29,36,29,24,47
8,8,35,44,28,30,13,43,35,9,39,47,13,1,24,47,49,47,49,47,15
9,9,39,9,12,29,15,29,15,29,35,47,23,21,23,48,19,48,19,1,25
10,10,29,28,22,35,16,32,9,36,9,19,0,1,28,45,28,44,13,26,39
11,11,29,50,29,28,9,11,29,13,28,29,32,16,15,29,11,9,35,44,13
12,12,9,35,43,28,30,28,47,24,48,19,7,19,1,37,6,27,6,5,6
13,13,26,35,32,16,6,29,39,47,50,47,50,47,49,47,13,43,35,34,35
14,14,40,24,47,49,16,39,9,11,31,28,47,23,16,2,16,39,16,6,37
15,15,47,19,46,19,48,24,47,4,29,28,1,28,9,32,29,36,9,39,9
16,16,6,27,35,37,35,0,1,25,1,35,46,24,29,36,9,32,29,50,47
17,17,10,29,24,29,10,17,10,29,35,30,28,43,28,9,39,9,32,9,11
18,18,35,27,35,47,23,47,4,16,15,47,23,29,39,9,14,9,19,9,19
19,19,46,24,40,14,9,39,16,32,16,49,16,23,29,11,29,19,29,50,16
20,20,35,31,35,17,35,21,35,27,6,27,35,42,35,33,35,27,6,37,6
21,21,23,21,23,29,15,47,50,16,28,29,36,29,39,16,15,29,6,5,6
22,22,35,0,1,28,30,28,31,11,29,6,27,35,37,35,22,35,26,35,27
23,23,47,49,47,50,29,39,26,6,5,6,29,36,29,32,35,44,13,16,39
24,24,29,14,29,19,0,35,47,13,47,35,33,35,21,35,43,13,28,44,28
25,25,1,25,1,24,48,24,40,24,48,23,16,32,35,37,35,26,35,17,13
26,26,6,16,6,27,6,5,6,16,32,9,35,42,35,26,13,1,35,44,13
27,27,6,27,35,3,35,45,28,29,12,29,10,29,4,47,50,47,35,44,35
28,28,16,50,47,4,16,32,29,28,30,13,43,13,44,35,16,13,17,10,17
29,29,15,16,39,9,32,16,39,29,6,27,6,27,35,47,39,29,36,9,32
30,30,28,13,26,6,27,35,26,35,34,35,32,35,38,35,27,35,3,35,44
