,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,19,48,19,7,19,48,23,29,50,47,49,47,13,17,13,47,49,16,50
1,1,28,16,32,29,50,16,28,1,24,47,23,16,39,29,32,29,35,41,35
2,2,16,4,29,50,16,39,29,13,16,49,47,28,47,23,16,49,47,50,29
3,3,35,41,35,31,28,16,39,29,32,16,32,35,26,13,47,15,47,13,26
4,4,29,50,47,49,16,39,16,50,16,50,29,36,9,32,16,32,16,32,35
5,5,6,5,6,27,6,27,35,44,28,44,13,44,13,47,24,47,35,26,39
6,6,16,39,16,13,44,28,30,28,13,16,39,16,23,21,23,16,23,29,36
7,7,19,48,24,48,19,38,19,46,35,21,35,41,35,38,35,26,35,29,6
8,8,35,3,35,21,23,29,24,47,49,47,4,29,24,48,23,16,32,35,26
9,9,35,38,35,20,35,22,35,33,35,43,28,1,0,1,28,30,28,31,11
10,10,29,32,9,36,9,36,9,32,9,19,1,28,30,28,45,28,1,28,22
11,11,31,35,31,28,30,35,42,35,17,13,44,13,44,35,17,13,28,30,28
12,12,9,12,9,39,47,23,16,39,16,32,35,3,35,26,35,32,9,28,9
13,13,43,35,17,35,26,35,27,35,30,13,29,10,17,13,28,45,28,30,35
14,14,9,36,29,19,1,0,35,32,16,32,16,32,16,39,16,13,43,35,17
15,15,29,11,29,49,29,19,1,19,9,32,35,26,35,32,9,39,29,12,9
16,16,32,16,39,29,49,47,49,16,4,16,23,16,2,16,13,1,0,1,0
17,17,13,26,35,26,39,47,35,32,16,50,47,49,47,19,48,19,1,19,7
18,18,35,1,19,48,19,47,4,29,12,29,24,46,19,48,19,29,32,35,21
19,19,1,28,29,50,16,32,9,36,9,12,9,32,35,31,11,9,14,40,14
20,20,35,42,35,8,35,17,35,32,16,32,16,32,16,50,47,13,30,35,27
21,21,35,33,35,20,35,37,6,27,35,37,35,43,13,28,29,15,47,49,47
22,22,28,30,35,26,6,29,36,9,11,9,32,9,14,9,12,9,39,9,39
23,23,21,35,32,35,8,35,44,28,43,35,16,28,47,23,16,23,21,23,47
24,24,48,23,16,23,48,24,47,4,16,23,47,49,29,6,37,6,5,6,29
