,walk0,walk1,walk2,walk3,walk4,walk5,walk6,walk7,walk8,walk9,walk10,walk11,walk12,walk13,walk14,walk15,walk16,walk17,walk18,walk19
0,0,1,0,1,37,1,28,31,35,27,6,27,35,38,19,29,4,16,15,47
1,1,19,29,39,9,32,29,6,27,35,33,35,37,35,43,13,26,35,26,13
2,2,16,50,47,23,29,10,17,35,31,11,9,36,29,23,47,23,47,23,47
3,3,35,3,35,32,9,32,9,12,9,39,29,50,47,35,45,35,33,35,1
4,4,47,49,47,24,47,19,38,35,44,35,27,35,3,35,16,35,0,19,38
5,5,6,16,35,0,35,37,35,38,19,1,28,30,35,27,6,16,23,16,28
6,6,5,6,5,6,37,35,34,35,30,13,16,15,16,39,26,35,17,13,16
7,7,19,1,19,47,39,9,11,29,10,29,32,29,35,47,28,30,35,47,13
8,8,35,29,32,9,11,9,11,31,11,29,11,9,32,35,43,28,47,23,47
9,9,28,45,28,30,35,17,35,26,35,31,35,44,35,1,24,48,24,29,39
10,10,29,24,47,19,38,35,3,35,29,13,17,35,29,19,48,24,1,19,7
11,11,29,15,47,35,31,35,46,19,47,13,43,28,30,13,16,50,29,39,16
12,12,29,36,29,36,9,39,26,35,18,35,41,35,27,6,29,28,29,32,9
13,13,43,28,30,28,9,39,9,39,9,14,40,24,40,14,40,24,46,19,9
14,14,9,36,9,19,29,15,16,39,9,39,16,39,16,39,26,35,43,35,22
15,15,29,50,47,23,16,39,47,23,21,23,47,24,48,23,47,13,28,43,13
16,16,50,16,39,16,13,1,13,29,36,9,11,9,39,9,39,29,12,29,28
17,17,10,29,50,47,35,21,35,26,35,33,35,46,35,30,35,44,13,17,13
18,18,35,27,6,27,35,21,23,47,49,47,28,1,28,1,28,1,0,1,35
19,19,7,19,47,50,47,28,30,28,45,35,0,35,30,13,30,28,30,35,46
20,20,35,44,13,44,35,0,19,7,19,0,1,25,1,19,7,19,1,28,9
21,21,35,33,35,21,23,16,28,1,0,1,28,29,36,29,19,0,19,0,19
22,22,35,3,35,33,35,42,35,30,13,30,28,31,28,31,35,33,35,18,35
23,23,47,39,16,13,30,28,31,11,29,36,29,4,16,39,16,6,27,35,17
24,24,1,28,31,35,37,6,27,35,0,1,28,29,39,29,32,35,42,35,45
25,25,1,0,35,26,35,34,35,18,35,47,24,1,28,29,39,16,39,29,11
26,26,6,5,6,5,6,27,6,27,6,5,6,5,6,16,35,21,23,47,50
27,27,35,26,35,22,28,30,13,16,35,29,13,1,13,43,28,9,19,1,37
28,28,1,25,1,0,35,31,35,37,1,25,1,19,1,37,1,35,42,35,3
29,29,49,47,24,46,24,29,35,42,35,27,35,37,35,26,13,44,35,33,35
30,30,28,47,4,47,4,29,50,16,13,1,19,9,19,38,19,7,19,48,24
31,31,28,1,19,1,35,33,35,42,35,26,13,17,10,17,35,33,35,38,19
32,32,35,34,35,37,6,29,35,0,19,48,24,29,12,9,39,16,4,29,13
33,33,35,34,35,18,35,37,6,16,15,16,39,26,6,37,1,28,30,35,44
34,34,35,41,35,33,35,21,23,47,49,16,28,29,28,30,28,1,28,1,28
35,35,30,28,22,35,27,6,29,6,27,35,26,35,33,35,30,28,31,28,22
36,36,29,32,9,28,31,11,31,35,22,35,43,35,26,35,20,35,0,19,1
37,37,1,25,1,24,47,19,46,35,0,35,26,39,16,39,29,36,29,39,16
