,x_emb,y_emb,t,name,house,good_bad,degree,main,id
74,0.86511135,-1.4119564,1,Draco Malfoy,s,good,7,0,23
75,1.083717,-1.3606893,1,Lucius Malfoy,s,good,7,0,24
76,0.7443377,-1.4547263,1,Narcissa Malfoy,s,good,1,0,25
77,0.08779289,-1.7171057,1,Minerva McGonagall,g,bad,6,0,26
78,-0.3500015,-1.8843422,1,"Alastor ""Mad-Eye"" Moody",n,bad,5,0,27
79,0.3172374,-1.6680188,1,Peter Pettigrew,g,good,19,1,28
80,0.7856154,-1.5218686,1,Harry Potter,g,bad,22,1,29
81,0.46458688,-1.6831259,1,James Potter,g,bad,7,0,30
82,0.3973717,-1.7834098,1,Lily Potter,g,bad,5,0,31
83,0.27537712,-1.4969832,1,Quirinus Quirrell,r,good,11,0,32
84,0.24086967,-1.770483,1,Tom Riddle Sr.,m,bad,5,0,33
85,0.3215178,-1.5006962,1,Mary Riddle,m,bad,1,0,34
86,0.22071868,-1.9881364,1,Lord Voldemort,s,good,37,1,35
87,0.7608448,-1.3531015,1,Rita Skeeter,n,good,5,0,36
88,0.04024574,-1.8149694,1,Severus Snape,s,bad,4,0,37
89,0.6777211,-1.4715909,1,Nymphadora Tonks,h,bad,2,0,38
90,0.68457115,-1.418146,1,Dolores Janes Umbridge,n,good,12,0,39
91,0.82581484,-1.5923828,1,Arthur Weasley,g,bad,2,0,40
92,0.36952826,-1.6358327,1,Bill Weasley,g,bad,1,0,41
93,0.113666505,-1.6860969,1,Charlie Weasley,g,bad,1,0,42
94,0.4511183,-1.6620755,1,Fred Weasley,g,bad,3,0,43
95,0.21674675,-1.7347777,1,George Weasley,g,bad,3,0,44
96,0.44245756,-1.648298,1,Ginny Weasley,g,bad,2,0,45
97,0.7742565,-1.4378071,1,Molly Weasley,g,bad,3,0,46
98,0.6855879,-1.50661,1,Ron Weasley,g,bad,14,0,47
99,1.2389714,-1.319634,1,Dobby,n,bad,5,0,48
100,0.58616817,-1.4361653,1,Fluffy,n,good,4,0,49
101,0.70784944,-1.3323696,1,Aragog,n,good,4,0,50
102,0.9125213,-1.7605209,2,Regulus Arcturus Black,s,bad,4,0,0
103,1.0189162,-1.798465,2,Sirius Black,g,bad,12,0,1
104,0.47411647,-1.49585,2,Lavender Brown,g,good,1,0,2
105,-0.08714199,-2.1186926,2,Cho Chang,r,bad,1,0,3
106,0.5785316,-1.4746299,2,Vincent Crabbe,s,good,3,0,4
107,-0.9278512,-2.3482769,2,"Bartemius ""Barty"" Crouch Sr.",n,bad,2,0,5
108,-1.0243798,-2.564381,2,"Bartemius ""Barty"" Crouch Jr.",s,good,9,0,6
109,1.3965389,-1.3509383,2,Fleur Delacour,n,bad,1,0,7
110,0.04779267,-2.0542686,2,Cedric Diggory,h,bad,1,0,8
111,1.1622115,-1.3124201,2,Albus Dumbledore,g,bad,18,1,9
112,0.69995385,-1.7492727,2,Dudley Dursley,m,good,2,0,10
113,0.6997924,-1.3993512,2,Petunia Dursley,m,good,4,0,11
114,0.8782712,-1.3515254,2,Vernon Dursley,m,good,3,0,12
115,0.21760193,-1.9417169,2,Argus Filch,n,good,10,0,13
116,1.3150479,-1.3012666,2,Cornelius Fudge,n,good,3,0,14
117,0.8852465,-1.3946555,2,Gregory Goyle,s,good,3,0,15
118,0.60065013,-1.4428301,2,Hermione Granger,g,bad,19,1,16
119,0.17674837,-2.0632398,2,Rubeus Hagrid,g,bad,3,0,17
120,0.1403777,-1.8772618,2,Igor Karkaroff,n,bad,1,0,18
121,2.0438778,-1.4030676,2,Bellatrix Lestrange,s,good,11,0,19
122,0.043350246,-2.022076,2,Frank Longbottom,g,bad,1,0,20
123,0.6341175,-1.6983111,2,Neville Longbottom,g,bad,2,0,21
124,0.16514607,-2.0403614,2,Remus Lupin,g,bad,2,0,22
125,1.2858504,-1.3754182,2,Draco Malfoy,s,good,7,0,23
126,2.0346084,-1.2514474,2,Lucius Malfoy,s,good,7,0,24
127,0.9146653,-1.7405597,2,Narcissa Malfoy,s,good,1,0,25
128,-0.2497317,-2.1069534,2,Minerva McGonagall,g,bad,6,0,26
129,-1.1532273,-2.5697038,2,"Alastor ""Mad-Eye"" Moody",n,bad,5,0,27
130,0.15065362,-2.0862875,2,Peter Pettigrew,g,good,19,1,28
131,1.0491812,-1.4819701,2,Harry Potter,g,bad,22,1,29
132,0.29760915,-1.9414864,2,James Potter,g,bad,7,0,30
133,0.13514136,-2.0523186,2,Lily Potter,g,bad,5,0,31
134,0.38604385,-1.443599,2,Quirinus Quirrell,r,good,11,0,32
135,-0.08528813,-2.1210372,2,Tom Riddle Sr.,m,bad,5,0,33
136,0.14495574,-1.9338934,2,Mary Riddle,m,bad,1,0,34
137,-0.13831379,-2.4603744,2,Lord Voldemort,s,good,37,1,35
138,1.0590128,-1.243926,2,Rita Skeeter,n,good,5,0,36
139,-0.3244858,-2.19443,2,Severus Snape,s,bad,4,0,37
140,0.8023173,-1.7663934,2,Nymphadora Tonks,h,bad,2,0,38
141,0.7285343,-1.3490857,2,Dolores Janes Umbridge,n,good,12,0,39
142,1.6195831,-1.3539002,2,Arthur Weasley,g,bad,2,0,40
143,0.13389955,-2.0783088,2,Bill Weasley,g,bad,1,0,41
144,-0.08649732,-2.0419455,2,Charlie Weasley,g,bad,1,0,42
145,0.32932016,-1.8865424,2,Fred Weasley,g,bad,3,0,43
146,0.0699503,-2.1104684,2,George Weasley,g,bad,3,0,44
147,0.23559579,-1.9242713,2,Ginny Weasley,g,bad,2,0,45
148,1.3498492,-1.5006269,2,Molly Weasley,g,bad,3,0,46
149,1.1664536,-1.3940824,2,Ron Weasley,g,bad,14,0,47
150,2.161007,-1.2254578,2,Dobby,n,bad,5,0,48
151,0.92179203,-1.3469237,2,Fluffy,n,good,4,0,49
152,1.0479995,-1.2973657,2,Aragog,n,good,4,0,50
153,1.3672528,-1.796022,3,Regulus Arcturus Black,s,bad,4,0,0
154,1.2492454,-1.9473475,3,Sirius Black,g,bad,12,0,1
155,0.33274493,-1.5705816,3,Lavender Brown,g,good,1,0,2
156,-0.2271434,-2.4390743,3,Cho Chang,r,bad,1,0,3
157,0.8489677,-1.4223418,3,Vincent Crabbe,s,good,3,0,4
158,-1.7017268,-2.8158622,3,"Bartemius ""Barty"" Crouch Sr.",n,bad,2,0,5
159,-1.6519475,-2.953991,3,"Bartemius ""Barty"" Crouch Jr.",s,good,9,0,6
160,1.8915868,-1.3998771,3,Fleur Delacour,n,bad,1,0,7
161,-0.15153363,-2.268298,3,Cedric Diggory,h,bad,1,0,8
162,1.1515982,-1.2140319,3,Albus Dumbledore,g,bad,18,1,9
163,0.8981771,-1.8130614,3,Dudley Dursley,m,good,2,0,10
164,0.6827562,-1.4064518,3,Petunia Dursley,m,good,4,0,11
165,1.0758737,-1.3150626,3,Vernon Dursley,m,good,3,0,12
166,0.16125749,-2.1360388,3,Argus Filch,n,good,10,0,13
167,1.9156215,-1.2811517,3,Cornelius Fudge,n,good,3,0,14
168,0.8362426,-1.3293376,3,Gregory Goyle,s,good,3,0,15
169,0.4502751,-1.4463156,3,Hermione Granger,g,bad,19,1,16
170,0.32499295,-2.192072,3,Rubeus Hagrid,g,bad,3,0,17
171,-0.00986386,-2.1484385,3,Igor Karkaroff,n,bad,1,0,18
172,2.5206137,-1.5034014,3,Bellatrix Lestrange,s,good,11,0,19
173,-0.08369105,-2.2567961,3,Frank Longbottom,g,bad,1,0,20
174,0.7581467,-1.7534447,3,Neville Longbottom,g,bad,2,0,21
175,0.146214,-2.0830092,3,Remus Lupin,g,bad,2,0,22
176,1.4689144,-1.400853,3,Draco Malfoy,s,good,7,0,23
177,2.5785515,-1.3598267,3,Lucius Malfoy,s,good,7,0,24
178,1.0277253,-1.9356774,3,Narcissa Malfoy,s,good,1,0,25
179,-0.5379742,-2.2518036,3,Minerva McGonagall,g,bad,6,0,26
180,-1.8303171,-2.9033296,3,"Alastor ""Mad-Eye"" Moody",n,bad,5,0,27
