,x,y,id,name,house,good_bad,degree,main
0,-0.35417630230280056,0.2968023883252683,0,Regulus Arcturus Black,s,bad,4,0
1,-0.2048305849540571,0.24785885524776186,1,Sirius Black,g,bad,12,0
2,0.9131406331404056,0.19721124822071237,2,Lavender Brown,g,good,1,0
3,-0.6722441142006292,-0.5727244925946666,3,Cho Chang,r,bad,1,0
4,0.590352109967148,0.24080871291260597,4,Vincent Crabbe,s,good,3,0
5,0.6122198851867995,-0.6806195781423374,5,"Bartemius ""Barty"" Crouch Sr.",n,bad,2,0
6,0.325745872296985,-0.38265371470244997,6,"Bartemius ""Barty"" Crouch Jr.",s,good,9,0
7,-0.17639733570056926,1.0,7,Fleur Delacour,n,bad,1,0
8,-0.8106563550198271,-0.29076187666782916,8,Cedric Diggory,h,bad,1,0
9,0.3296914278871565,0.026720693087296306,9,Albus Dumbledore,g,bad,18,1
10,0.4127458909306805,-0.4775555165616645,10,Dudley Dursley,m,good,2,0
11,0.40543293511977424,-0.21620948781761068,11,Petunia Dursley,m,good,4,0
12,0.6649705601366362,-0.0650976990638512,12,Vernon Dursley,m,good,3,0
13,-0.04697878531304056,-0.036015642127031386,13,Argus Filch,n,good,10,0
14,0.6260133642513747,0.44143222822757966,14,Cornelius Fudge,n,good,3,0
15,0.4713692226487753,0.4354630380233818,15,Gregory Goyle,s,good,3,0
16,0.31953640698107255,0.10821360936620608,16,Hermione Granger,g,bad,19,1
17,0.01503451043750246,-0.5152604816126337,17,Rubeus Hagrid,g,bad,3,0
18,-0.5621087860232324,-0.6773983349616234,18,Igor Karkaroff,n,bad,1,0
19,-0.050125745703186626,0.45959897188236287,19,Bellatrix Lestrange,s,good,11,0
20,-0.42296796368335116,-0.7460139014149384,20,Frank Longbottom,g,bad,1,0
21,0.1245558751803375,-0.08483930708126484,21,Neville Longbottom,g,bad,2,0
22,-0.5740293631037279,-0.09137146426799218,22,Remus Lupin,g,bad,2,0
23,0.2330880460819537,0.34445142041562343,23,Draco Malfoy,s,good,7,0
24,0.13530265415674977,0.5522082631739721,24,Lucius Malfoy,s,good,7,0
25,-0.6009395334865504,0.6637295719490436,25,Narcissa Malfoy,s,good,1,0
26,0.08002873463230324,-0.26579111411481543,26,Minerva McGonagall,g,bad,6,0
27,0.10491057858672953,-0.4811943607257186,27,"Alastor ""Mad-Eye"" Moody",n,bad,5,0
28,-0.11807305143782454,0.01704248106046595,28,Peter Pettigrew,g,good,19,1
29,0.2713715235057216,0.08567873638618204,29,Harry Potter,g,bad,22,1
30,-0.2802009867337768,-0.036548508993771614,30,James Potter,g,bad,7,0
31,-0.02356042759566007,-0.30007062125401984,31,Lily Potter,g,bad,5,0
32,0.14676089653869787,0.002516207192602325,32,Quirinus Quirrell,r,good,11,0
33,-0.3682537249578634,-0.4592324000686262,33,Tom Riddle Sr.,m,bad,5,0
34,-0.25709389396351673,-0.7737145673807878,34,Mary Riddle,m,bad,1,0
35,-0.22142691970009395,-0.19345497893640726,35,Lord Voldemort,s,good,37,1
36,0.5740121098077858,0.03813454933204183,36,Rita Skeeter,n,good,5,0
37,-0.07999854611501588,-0.20669135794967428,37,Severus Snape,s,bad,4,0
38,-0.47149196088703693,0.3133438531130259,38,Nymphadora Tonks,h,bad,2,0
39,0.4108049062601052,-0.008500708781147236,39,Dolores Janes Umbridge,n,good,12,0
40,0.5527169774727596,0.8248521249015767,40,Arthur Weasley,g,bad,2,0
41,-0.8149530428376562,-0.09736801309361141,41,Bill Weasley,g,bad,1,0
42,-0.7576724650574246,-0.446075059710009,42,Charlie Weasley,g,bad,1,0
43,-0.4093881035955418,-0.10028834426916755,43,Fred Weasley,g,bad,3,0
44,-0.4145700710527001,0.05483771649755335,44,George Weasley,g,bad,3,0
45,-0.4859876203830965,-0.2708034449469944,45,Ginny Weasley,g,bad,2,0
46,-0.20899971537718798,0.4091733134662797,46,Molly Weasley,g,bad,3,0
47,0.18598523295533448,0.24591048547386626,47,Ron Weasley,g,bad,14,0
48,0.08692293304565098,0.7212036709819788,48,Dobby,n,bad,5,0
49,0.4541579851816083,0.3139430795492721,49,Fluffy,n,good,4,0
50,0.34025412679531164,0.43511975845397727,50,Aragog,n,good,4,0
