,x_emb,y_emb,t,tau,id
0,-0.698768053570544,-0.15170860286150095,0,2,0
1,-0.45849179507897925,0.09238973433403937,0,1,1
2,-0.7178419990600375,-0.27435689352960246,0,2,2
3,-0.6968653213562994,-0.3333715285426577,0,2,3
4,-0.7165755364471382,-0.3051107186926503,0,2,4
5,-0.46495449944723655,0.04400624986473829,0,0,5
6,-0.4167722889010451,0.09557000004823234,0,0,6
7,-0.5832038514600153,-0.09067331861066873,0,1,7
8,-0.6502931489889199,-0.2256033039014456,0,2,8
9,-0.5721455248304766,0.03193307834706009,0,1,9
10,-0.49415067624967896,-0.28213921736442255,0,1,10
11,-0.43106627148155474,-0.012709652491254868,0,0,11
12,-0.7670827411429857,-0.17709320683028304,0,2,12
13,-0.5354667897976519,0.1944016141831937,0,0,13
14,-0.687059090702809,-0.2723183644832139,0,2,14
15,-0.48968178184239064,0.20387649537868652,0,0,15
16,-0.4758394214524064,0.20523317902636068,0,0,16
17,-0.6791914163624204,-0.027854788365963137,0,2,17
18,-0.49784185459191604,-0.07184591911134758,0,0,18
19,-0.5512818962953473,0.11806516797260416,0,1,19
20,-0.5264848327108471,-0.11214710708654309,0,1,20
21,-0.47929455392149206,0.30032046190326983,0,0,21
22,-0.5041944432220505,-0.17680885865114926,0,1,22
23,-0.7717615076337883,-0.2472198874959885,0,2,23
24,-0.4884908812566254,0.2555754313537539,0,0,24
25,-0.5247912098679778,0.012582974845447091,0,1,25
26,-0.46156223589883316,-0.0040743557983331504,0,0,26
27,-0.7611879194696611,-0.23601704842540708,0,2,27
28,-0.6975720346842349,-0.09431045362348686,0,2,28
29,-0.6667317692007116,-0.1547444687114436,0,2,29
30,-0.7334874030149594,-0.2077761826194363,0,2,30
31,-0.39910204670339083,0.11445042872684721,0,0,31
32,-0.49509795490989045,-0.03913183744903939,0,1,32
33,-0.4967742019112266,-0.352142932642784,0,1,33
34,-0.42581670626342893,-0.0994280051153222,0,0,34
35,-0.6550494813138116,-0.02200818256155023,0,2,35
36,-0.6819830317020279,-0.21942015371326964,0,2,36
37,-0.4611206240693591,-0.2192455575114719,0,1,37
38,-0.6322473535824837,0.07362118891774887,0,2,38
39,-0.4772168094978722,-0.068399133326088,0,0,39
40,-0.5030035716759019,-0.14982185462255238,0,1,40
41,-0.4292997332450094,0.0066861307361223135,0,1,41
42,-0.4155016614819979,0.11462026243192068,0,0,42
43,-0.7514292959278265,-0.27543942015742034,0,2,43
44,-0.7278631978684375,-0.22726183160379476,0,2,44
45,-0.5430649059870843,-0.1369519560140587,0,1,45
46,-0.6535529454880119,-0.2590263812583651,0,2,46
47,-0.6485572710520884,-0.20461811240434552,0,2,47
48,-0.707837578969632,-0.2696120358645521,0,2,48
49,-0.43442951609217056,0.14021473371217516,0,0,49
50,-0.716854976899413,-0.1594736084947252,0,2,50
51,-0.5081203663714398,0.2880847180591269,0,0,51
52,-0.4780191028700069,0.015019292458945168,0,0,52
53,-0.47279034825452604,0.26838148153622327,0,0,53
54,-0.7002716271354225,-0.08719010292830477,0,2,54
55,-0.4956993806040591,0.008933438654253584,0,1,55
56,-0.6750296081710424,-0.08617219930403333,0,2,56
57,-0.492073685000129,-0.04924038056124303,0,1,57
58,-0.7049829804444998,0.0018048774393157013,0,2,58
59,-0.6861881388845478,-0.09057001807216623,0,2,59
60,-0.4427113575776692,0.07261178057299855,0,0,60
61,-0.7269145789840079,0.0188306310378511,0,2,61
62,-0.46401295740996923,0.048539776597889266,0,0,62
63,-0.4905552392544274,-0.10561992472885362,0,1,63
64,-0.463847033401606,-0.07569770241360427,0,1,64
65,-0.5113131800473334,0.14620224698300402,0,0,65
66,-0.5134053169955624,-0.22142646242448666,0,1,66
67,-0.42176606034142133,0.06466283030457924,0,0,67
68,-0.4783258877281395,0.08647206339866428,0,0,68
69,-0.5217590458248214,-0.0842426628695248,0,1,69
70,-0.6675594775418177,-0.21369836886045993,0,2,70
71,-0.541973600708715,-0.06820679198689975,0,1,71
72,-0.46064527073721895,0.09367597259121205,0,1,72
73,-0.7408600393499982,-0.2563540322746972,0,2,73
74,-0.654408089970275,-0.28352343789783485,0,2,74
75,-0.527484607639807,-0.056222422076231314,0,1,75
76,-0.5212286817356945,-0.020784427355800945,0,1,76
77,-0.4217498485349796,0.12529453430664014,0,0,77
78,-0.4660434819819265,-0.060319334845216746,0,1,78
79,-0.40012101260388694,0.13618986034414557,0,0,79
80,-0.7018312659887396,-0.3236252828574782,0,2,80
81,-0.6406868974446205,-0.21053706162986413,0,2,81
82,-0.7503273826357563,-0.174083739030554,0,2,82
83,-0.47864255406388484,0.17439584082346055,0,0,83
84,-0.493528233275868,0.21740438755660396,0,0,84
85,-0.41232053459678836,0.17452557523329448,0,0,85
86,-0.6579625076900759,-0.05741149763156687,0,2,86
87,-0.46583925222800326,-0.12081778105265598,0,0,87
88,-0.6437980694481408,-0.07309682016306934,0,2,88
89,-0.5435562546884547,-0.10247431992326336,0,1,89
90,-0.42462560476708444,0.1740992190840447,0,0,90
91,-0.5210376110248818,0.15647863166680645,0,0,91
92,-0.4393964156947413,-0.04963132827605742,0,0,92
93,-0.6184157501539521,-0.028508089382777,0,1,93
94,-0.5210997569804537,0.08954289200276858,0,0,94
95,-0.407750778512336,0.2859151525434004,0,0,95
96,-0.42666191945725984,0.08608587582036173,0,0,96
97,-0.43742759793401914,0.1590780927312173,0,0,97
98,-0.4775846732928672,-0.06103583911211981,0,0,98
99,-0.5039469726584205,-0.10416847979429662,0,1,99
100,-0.46940951014430593,0.25803450710287745,0,0,100
101,-0.7875613836529697,-0.18861885546211624,0,2,101
102,-0.6430980442844151,0.018101014626602224,0,2,102
103,-0.49063482084569027,-0.2305583800809093,0,1,103
104,-0.3979741462874718,-0.16449935052748643,0,1,104
105,-0.5335583098071656,-0.23174004622727365,0,1,105
106,-0.4438478518665271,0.3295356040883065,0,0,106
107,-0.49278634011385064,0.2058371482574006,0,0,107
108,-0.5700315428665335,0.09791092528327519,0,1,108
109,-0.7165409539835581,-0.1740886479517104,0,2,109
110,-0.5665338970017919,-0.1570978353996214,0,1,110
111,-0.5067571129183689,-0.15369497134246604,0,1,111
112,-0.6166784050733067,-0.13224066076192081,0,1,112
113,-0.5823511617248364,-0.09905321466961482,0,1,113
114,-0.4296892189410102,-0.24071072148135572,0,1,114
115,-0.7168954301045777,-0.1927406928821577,0,2,115
116,-0.47977555636819774,-0.2522506486516406,0,1,116
117,-0.5446879116011443,-0.11264904595927273,0,1,117
118,-0.4905799799348878,-0.20866913695685022,0,1,118
119,-0.4276115554868577,0.1793553696605084,0,0,119
120,-0.5120250782210369,0.21183831421650764,0,0,120
121,-0.46912205548280417,0.0439322193345829,0,0,121
122,-0.41642086385240057,-0.0412052012387029,0,0,122
123,-0.5128837592473086,0.01754195634744985,0,1,123
124,-0.5972977054354616,-0.1617094806320853,0,1,124
125,-0.5034280266148218,-0.3910463725381514,0,1,125
126,-0.7544172153783064,-0.23812752064149506,0,2,126
127,-0.5136332108916104,-0.1477118682525496,0,1,127
128,-0.42384714639948856,0.09117826012194255,0,1,128
129,-0.4888797972414743,0.24736609227224646,0,0,129
130,-0.5464990118056019,-0.17770803685908085,0,1,130
131,-0.41309106706941995,0.07477875148773809,0,0,131
132,-0.6703552215904645,-0.03898835293004111,0,2,132
133,-0.7037202245012836,-0.18673107203797584,0,2,133
134,-0.6724767946221245,-0.13461520200191274,0,2,134
135,-0.6712339031312039,-0.06482128459267461,0,2,135
136,-0.5547953045570798,-0.21249669557474718,0,1,136
137,-0.4791723464649563,0.09963399275824705,0,0,137
138,-0.5157677101871722,0.18121023804561642,0,0,138
139,-0.6124102507426613,-0.010448901202287258,0,2,139
140,-0.7331261410359466,-0.33818008819450973,0,2,140
141,-0.7083196552495193,-0.23212880462376265,0,2,141
142,-0.42286316153435055,0.043488350701221035,0,0,142
143,-0.43714688070634333,-0.04855623807325787,0,0,143
144,-0.6580655036267425,-0.05950387954075518,0,2,144
145,-0.5128291589802348,-0.06338745861172644,0,1,145
146,-0.42026889327387745,0.0713253557988115,0,1,146
147,-0.7186175969318045,-0.23670227809269576,0,2,147
148,-0.5340240868223787,-0.14443111668793646,0,1,148
149,-0.7328014642348343,-0.18762009817276284,0,2,149
150,-0.6719673794568745,-0.20389761688893265,1,2,0
151,-0.5844591101273366,0.2707314363090885,1,1,1
152,-0.674702165538535,-0.24722853431817138,1,2,2
153,-0.6767783294930062,0.009823585682200032,1,2,3
154,-0.7061475654065535,-0.21256933503518094,1,2,4
155,-0.4570441200825133,0.5532402267717502,1,0,5
156,-0.39472046686544515,0.31197639777962805,1,0,6
157,-0.527623100919862,0.24987359119763772,1,1,7
158,-0.6910900302381758,-0.39660541511882497,1,2,8
159,-0.5696523912912315,0.22865460181224476,1,1,9
160,-0.5410680033598801,0.21165063244487087,1,1,10
161,-0.36920032479775183,0.33746714137825806,1,0,11
162,-0.6528524364065342,-0.10624267948929272,1,2,12
163,-0.4394576899838517,0.47633966217623736,1,0,13
164,-0.6886006790028527,-0.13579134088378902,1,2,14
165,-0.4822073862265282,0.478147040588955,1,0,15
166,-0.42715709475044195,0.4192909409863418,1,0,16
167,-0.7284778036713556,-0.08194832792359676,1,2,17
168,-0.41763653322840777,0.3450694173913322,1,0,18
169,-0.6022787435512077,0.12999631715747756,1,1,19
170,-0.5884320744802308,0.11303239873650868,1,1,20
171,-0.38580878586341055,0.4738593397448151,1,0,21
172,-0.6088376997410334,0.14438409625173607,1,1,22
173,-0.752691600089398,-0.06045878821130959,1,2,23
174,-0.45420750378931746,0.32344252255944334,1,0,24
175,-0.5793660683980473,0.11769849606147088,1,1,25
176,-0.42503626611678996,0.33546888603269975,1,0,26
177,-0.6409611781212071,0.01669757678091197,1,2,27
178,-0.6871457766234659,-0.4092091762172617,1,2,28
179,-0.660014502884467,-0.2301627081807296,1,2,29
180,-0.6219284929875566,-0.27869361375432455,1,2,30
181,-0.43707478757351564,0.4434123309032864,1,0,31
182,-0.6055370390910005,0.15241716314905954,1,1,32
183,-0.5790726687295599,0.1262957112919551,1,1,33
184,-0.37779551291352126,0.34488699820315255,1,0,34
185,-0.6709184352156483,-0.02997779318859969,1,2,35
186,-0.7106668773499661,-0.013851180934163926,1,2,36
187,-0.6059093580641661,0.13491146972645987,1,1,37
188,-0.6987079640980607,-0.25935450435975604,1,2,38
