,x,y,id,name,house,good_bad,degree,main
0,-0.040032394304266715,0.03236119596730696,0,Regulus Arcturus Black,s,bad,72,0
1,-0.023908999410128445,-0.19259518953570381,1,Sirius Black,g,bad,146,0
2,0.8060324172540566,0.13235502883428524,2,Lavender Brown,g,good,19,0
3,-0.5082005441517713,-0.33426643180569704,3,Cho Chang,r,bad,37,0
4,0.6278290134305786,0.40079001457829977,4,Vincent Crabbe,s,good,55,0
5,-0.5393292687477624,-0.6696790305998847,5,"Bartemius ""Barty"" Crouch Sr.",n,bad,18,0
6,0.54233999959337,0.12799857156688715,6,"Bartemius ""Barty"" Crouch Jr.",s,good,70,0
7,0.18810572738656556,-0.8223218374806411,7,Fleur Delacour,n,bad,11,0
8,-0.594973418953185,-0.17353131931204502,8,Cedric Diggory,h,bad,37,0
9,-0.02000249557223362,-0.2730076505707982,9,Albus Dumbledore,g,bad,180,0
10,0.6920904028187053,0.5886688324519899,10,Dudley Dursley,m,good,25,0
11,0.4185478346470084,0.5210459373429407,11,Petunia Dursley,m,good,63,0
12,0.34460798904271894,0.5985548945070677,12,Vernon Dursley,m,good,58,0
13,0.2346030218348273,0.18411956473060126,13,Argus Filch,n,good,108,0
14,0.4994002982740051,0.6119045663612234,14,Cornelius Fudge,n,good,42,0
15,0.6375385457646039,0.25647074337865083,15,Gregory Goyle,s,good,55,0
16,-0.09374579293231225,-0.18007917258532308,16,Hermione Granger,g,bad,196,1
17,-0.4230978118356796,-0.1260811083113823,17,Rubeus Hagrid,g,bad,49,0
18,-0.5303799898114399,-0.25100980022102237,18,Igor Karkaroff,n,bad,37,0
19,0.2467963520841286,0.394119121509375,19,Bellatrix Lestrange,s,good,98,0
20,-0.5815010442499408,-0.07137520971841185,20,Frank Longbottom,g,bad,37,0
21,-0.45395813194929635,-0.05056436128570581,21,Neville Longbottom,g,bad,44,0
22,-0.347190231617947,0.048010397362399114,22,Remus Lupin,g,bad,56,0
23,0.4899213035777975,0.25156946460444674,23,Draco Malfoy,s,good,95,0
24,0.26731435206455306,0.5157205759953253,24,Lucius Malfoy,s,good,63,0
25,-0.035509440619195386,0.7450352655671069,25,Narcissa Malfoy,s,good,12,0
26,-0.2553652230734827,-0.20193652734528794,26,Minerva McGonagall,g,bad,142,0
27,-0.33710707135500506,-0.2860948574448155,27,"Alastor ""Mad-Eye"" Moody",n,bad,101,0
28,0.2574082615313783,0.27399939205512863,28,Peter Pettigrew,g,good,189,0
29,-0.11498164903079794,-0.2718991881835505,29,Harry Potter,g,bad,201,1
30,-0.1663398511265705,-0.12132998586435235,30,James Potter,g,bad,160,0
31,-0.26897436690401627,-0.12434939609391654,31,Lily Potter,g,bad,116,0
32,0.13967215318129786,0.13620173668583652,32,Quirinus Quirrell,r,good,248,1
33,-0.24304433261805733,-0.06634896410215191,33,Tom Riddle Sr.,m,bad,121,0
34,-0.4607587517362674,0.11154176669941289,34,Mary Riddle,m,bad,37,0
35,0.29613100606053955,0.14475106701694096,35,Lord Voldemort,s,good,213,1
36,0.39797190151711326,0.42812005596159547,36,Rita Skeeter,n,good,98,0
37,-0.21118116476035514,0.013258885048155169,37,Severus Snape,s,bad,95,0
38,-0.27816822651907946,-0.4365040396217984,38,Nymphadora Tonks,h,bad,48,0
39,0.39602337305385693,0.3119212445448985,39,Dolores Janes Umbridge,n,good,212,1
40,-0.048769180896759974,-1.0,40,Arthur Weasley,g,bad,10,0
41,-0.5458081365180633,0.04258170579636514,41,Bill Weasley,g,bad,37,0
42,-0.42676269363304176,-0.4091337727360948,42,Charlie Weasley,g,bad,37,0
43,-0.11115824093957911,-0.04181835526367583,43,Fred Weasley,g,bad,66,0
44,-0.2475488562529808,0.08183690068819977,44,George Weasley,g,bad,66,0
45,-0.3572941110884244,-0.20648030967026162,45,Ginny Weasley,g,bad,56,0
46,-0.17875924469074891,-0.44328430150464176,46,Molly Weasley,g,bad,55,0
47,-0.14176046266447148,-0.33332910348585937,47,Ron Weasley,g,bad,132,0
48,0.01072027779235128,-0.6072972622357876,48,Dobby,n,bad,43,0
49,0.5677500974052977,0.32174530550031233,49,Fluffy,n,good,69,0
50,0.5248067996481047,0.41963494022406217,50,Aragog,n,good,69,0
