,x_emb,y_emb,t,name,house,good_bad,degree,main,id
82,-0.28005925,-0.96128625,1,Lily Potter,g,bad,116,0,31
83,-0.4321819,-1.0924771,1,Quirinus Quirrell,r,good,248,1,32
84,-0.33652556,-0.9350187,1,Tom Riddle Sr.,m,bad,121,0,33
85,-0.4409152,-0.88109106,1,Mary Riddle,m,bad,37,0,34
86,-0.33369848,-0.97933364,1,Lord Voldemort,s,good,213,1,35
87,-0.39186063,-0.9443156,1,Rita Skeeter,n,good,98,0,36
88,-0.4943288,-1.0103052,1,Severus Snape,s,bad,95,0,37
89,-0.40771943,-0.7613279,1,Nymphadora Tonks,h,bad,48,0,38
90,-0.25732562,-1.0558252,1,Dolores Janes Umbridge,n,good,212,1,39
91,-0.36798778,-0.75076085,1,Arthur Weasley,g,bad,10,0,40
92,-0.38573113,-1.0004272,1,Bill Weasley,g,bad,37,0,41
93,-0.4655029,-0.96806264,1,Charlie Weasley,g,bad,37,0,42
94,-0.2628616,-1.0566406,1,Fred Weasley,g,bad,66,0,43
95,-0.39299875,-0.7527945,1,George Weasley,g,bad,66,0,44
96,-0.48775706,-0.86284584,1,Ginny Weasley,g,bad,56,0,45
97,-0.42270908,-0.96395946,1,Molly Weasley,g,bad,55,0,46
98,-0.46851692,-1.0192425,1,Ron Weasley,g,bad,132,0,47
99,-0.47648284,-1.0229952,1,Dobby,n,bad,43,0,48
100,-0.4471823,-0.90253294,1,Fluffy,n,good,69,0,49
101,-0.43518093,-0.79451567,1,Aragog,n,good,69,0,50
102,-0.55160594,-1.1933626,2,Regulus Arcturus Black,s,bad,72,0,0
103,-0.506728,-1.1405174,2,Sirius Black,g,bad,146,0,1
104,-0.47742236,-0.87894243,2,Lavender Brown,g,good,19,0,2
105,-0.48819485,-1.1064466,2,Cho Chang,r,bad,37,0,3
106,-0.2951251,-0.83667743,2,Vincent Crabbe,s,good,55,0,4
107,-0.4309456,-0.9341787,2,"Bartemius ""Barty"" Crouch Sr.",n,bad,18,0,5
108,-0.2437938,-0.8857143,2,"Bartemius ""Barty"" Crouch Jr.",s,good,70,0,6
109,-0.30459708,-1.0004524,2,Fleur Delacour,n,bad,11,0,7
110,-0.3609442,-1.1442672,2,Cedric Diggory,h,bad,37,0,8
111,-0.45023072,-1.3190104,2,Albus Dumbledore,g,bad,180,0,9
112,-0.14666663,-0.85667413,2,Dudley Dursley,m,good,25,0,10
113,-0.33271712,-0.988242,2,Petunia Dursley,m,good,63,0,11
